,label,text-rel,label_num,tokens,text-neigh,token
0,ActionName,the driver creates device named \Device\vstor32 with a symbolic link \DosDevices\vstor32,1,performs,"first executed, the driver creates device named \Device\vstor32 with",performs
1,ActionName,it cleans out those logs,1,perform,"the server, and then cleans out those logs: 03:52:16 UpLoad:",perform
2,ActionName,rootkit store configuration and log data,1,tracking,by the rootkit to store configuration and log data.,tracking
3,ActionName,rootkit The files within that directory are used,1,being,files within that directory are used by the rootkit to,being
4,ActionName,the pipe server saving data into a temporary file,1,contain,"their behalf, such as saving data into a temporary",contain
5,ActionName,the pipe server copy files,1,were dropped,"into a temporary file, copy delete files, save configuration",were dropped
6,ActionName,the pipe server delete files,1,communicates,"a temporary file, copy/ delete files, save configuration data",communicates
7,ActionName,write into files,1,decrease,to be able to write into files/ registry. To,decrease
8,ActionName,it write data,1,sent,"code of 0x222038. To write data, it opens the",sent
9,ActionName,it CreateFile(\\.\vstor32) opens the device with,1,dropped,"To write data, it opens the device with CreateFile(\\.\vstor32),",dropped
10,ActionName,copying all the necessary logs into the shared virtual partition,1,deliver,to the driver by copying all the necessary logs,deliver
11,ActionName,executed the dropper,1,utilize,allowed to run. Once executed the dropper installs the,utilize
12,ActionName,The analysed 32-bit dropper creates a driver in the following location,1,drops,The analysed 32-bit dropper creates a driver in the,drops
13,ActionName,The installed hook handler checks if the name of the device is netbt or afd,1,drops,original API and then checks if the name of,drops
14,ActionName,the DLL log the data into the log files,1,drops,that the DLL could log the data into the,drops
15,ActionName,is written that data to the volume,1,sent,encryption/decryption whenever that data is written to or read from,sent
16,ActionName,read that data from the volume,1,dropped,is written to or read from the volume. The,dropped
17,ActionName,is saved the data into the volume Hd1,1,contained,"result, whenever the data is saved into the volume Hd1,",contained
18,ActionName,it stores its message queue in a file called,1,targeting,"it. For example, it stores its message queue in",targeting
19,ActionName,the Snake driver store its data and additional files on it,1,Attached,uses virtual volumes to store its data and additional,Attached
20,ActionName,is created,1,dropped,"64-bit unsigned driver file is created as usual: %windows%\$NtUninstallQ817473$\fdisk.sys However,",dropped
21,ActionName,the dropper copies itself,1,communicates,"that, the dropper first copies itself as: %windows%\$NtUninstallQ817473$\fdisk_mon.exe The",communicates
22,ActionName,the Snake dropper loads a copy of the NT core image (ntoskrnl.exe),1,encodes,"memory, the Snake dropper loads a copy of the",encodes
23,ActionName,the Snake dropper SepInitializeCodeIntegrity() within it locates the import of CI.dll’s function CiInitialize(),1,uses,"NT core image (ntoskrnl.exe), locates the import of CI.dll’s",uses
24,ActionName,it parses the function’s code to locate the offset of the variable,1,deployed,within it. Then it parses the function’s code to,deployed
25,ActionName,It MS09-025 and MS10-015 exploits running on the target system,1,generated,to do this by running MS09-025 and MS10-015 exploits,generated
26,ActionName,is written the initial message queue file into the virtual volume,1,sent,message queue file which is written into the virtual volume.,sent
27,ActionName,it reads configuration parameters from the configuration queue,1,is now encoded,"the DLL activates, it reads configuration parameters from the",is now encoded
28,ActionName,the driver creates the configuration queue on a virtual volume,1,connected,"queue, that the driver creates on a virtual volume.",connected
29,ActionName,The data saved into a configuration file %system%\vtmon.bin,1,generated,retrieves is encrypted and saved into a configuration file,generated
30,ActionName,the latest samples of Snake Log files created,1,is encoded,variants: 1dM3uu4j7Fw4sjnbcwlDqet4F7JyuUi4m5Imnxl1pzxI6as80cbLnmz54cs5Ldn4ri3do5L6gs923HL34x2f5cvd0fk6c1a0s Log files created by the latest samples,is encoded
31,ActionName,the injected module write into files the sensitive registry hives,1,evade,injected module could still write into files and into,evade
32,ActionName,it The logs and dumps creates on the hidden virtual volumes,1,contains,logs and dumps it creates on the hidden virtual,contains
33,ActionName,written a binary executable file to the disk,1,maintain,"file, which is then written to the disk and",maintain
34,ActionName,executed a binary executable file,1,be used,to the disk and executed The second set of,be used
35,ActionName,the dropper creates an additional file called winview.ocx,1,present,"than 3.26, the dropper creates an additional file called",present
36,ActionName,The file is xored with the following obfuscation key,1,establishing and maintaining,the past. The file is xored with the following obfuscation,establishing and maintaining
37,ActionName,the malware checks if an older version is installed on the system,1,covertly install,notice that the malware checks if an older version,covertly install
38,ActionName,the dropper removes the older version,1,hide,"the case, the dropper removes the older version. In",hide
39,ActionName,Uroburos was found on a version of Agent.BTZ a system,1,provide,a version of Agent.BTZ was found on a system. flow,provide
40,ActionName,Two log files are created during the malware execution,1,enable,pipe. Two log files are created during the malware execution:,enable
41,ActionName,is only executed in the main part (payload) of the malware explorer.exe,1,are carried out,"(payload) of the malware is only executed in explorer.exe. Furthermore, the",are carried out
42,ActionName,the attacker delete files,1,are handled,"to upload, download, enumerate, delete search, and execute files",are handled
43,ActionName,the attacker search files,1,depend on,"upload, download, enumerate, delete, search and execute files as",depend on
44,ActionName,the attacker execute files,1,installed,"enumerate, delete, search, and execute files as well as",installed
45,ActionName,the backdoor load the legitimate system32\msacm32.drv file,1,injected,the backdoor will also load the legitimate system32\msacm32.drv file,injected
46,ActionName,it cleans traces of the initial loader,1,load,"stage When launched, it cleans traces of the initial",load
47,ActionName,it loads the next part of the toolkit,1,use,"of the initial loader, loads the next part of",use
48,ActionName,Stage 2 On disinfect the compromised device failure,1,creates,2 is able to disinfect the compromised device. The,creates
49,ActionName,"The malware zeroes out its PE (Portable Executable, the Windows executable format) headers in memory",1,is used,"compromised device. The malware zeroes out its PE (Portable Executable,",is used
50,ActionName,The malware replacing MZ with its own magic marker 0xfedcbafe,1,drops,"format) headers in memory, replacing MZ with its own",drops
51,ActionName,It initializes the core components of the architecture,1,applied,in Windows’ kernel. It initializes the core components of,applied
52,ActionName,It loads the next parts of the malware,1,is dropped,of the architecture and loads the next parts of,is dropped
53,ActionName,a Regin driver loaded a sample,1,be injected,it might have been loaded by a Regin driver,be injected
54,ActionName,programs access information stored in the computer’s memory,1,be installed,the In order to access information stored in the,be installed
55,ActionName,was dumped the file from memory,1,be run,hypothesis that the file was dumped from memory during a,be run
56,ActionName,the driver zeroes the content,1,sets up,"using ExFreePool(), the driver zeroes the content, probably to",sets up
57,ActionName,the driver remove remaining traces and artifacts,1,calls,sequence of steps to remove remaining traces and artifacts.,calls
58,ActionName,The second thread executing stage two payloads,1,be notified,responsible for downloading and executing stage two payloads. Messages,be notified
59,ActionName,be written a DLL or EXE to disk,1,stay,or EXE that would be written to disk and executed.,stay
60,ActionName,executed a DLL or EXE,1,infect,written to disk and executed 8: CORESHELL Command ID,infect
61,ActionName,CHOPSTICK creates a hidden file that may be named %ALLUSERSPROFILE%\edg6EF885E2.tmp for temporary storage,1,restore,"collecting host information, CHOPSTICK creates a hidden file that",restore
62,ActionName,CHOPSTICK stores the encrypted message in an edg6EF885E2.tmp temporary file,1,sets,"using RC4, and then stores the encrypted message in",sets
63,ActionName,CHOPSTICK deletes the file,1,hide,"edg6EF885E2.tmp are uploaded, CHOPSTICK deletes the file. Figure 13",hide
64,ActionName,PSM module save the content of Dino modules in an encrypted file,1,watches,the PSM module to save the content of Dino,watches
65,ActionName,the operators look for files,1,stays,allows the operators to look for files very precisely. For,stays
66,ActionName,ramFS offering a disposable execution environment to the operators,1,intercepts,"executed on the machine, offering a disposable execution environment",intercepts
67,ActionName,it executes files,1,injects,"(it downloads, and then executes files, as it offers",injects
68,ActionName,an attacker overwrite the vftable pointer of a Flash object to redirect code execution,1,initiates,permits an attacker to overwrite the vftable pointer of,initiates
69,ActionName,it CreateFileA and WriteFile functions writes the file to with disk,1,blend,InternetReadFile functions. Then it writes the file to disk,blend
70,ActionName,it runs the file using the WinExec function,1,bypassing,"WriteFile functions. Finally, it runs the file using the",bypassing
71,ActionName,attack executing designated programs,1,keeping,"downloading and uploading files, executing designated programs, injecting keyboard",keeping
72,ActionName,a custom macro set automatically run upon document startup,1,stay,custom macro set to automatically run upon document startup. Under,stay
73,ActionName,a module writes it to disk in a special folder,1,Hiding,a module encrypts and writes it to disk in,Hiding
74,ActionName,It over- writes the files,1,injected,"C&C server. It then overwrites the files, renames them",injected
75,ActionName,It renames them several times,1,started,"over- writes the files, renames them several times, and",started
76,ActionName,It deletes them,1,relies on,"them several times, and deletes them, in an apparent",relies on
77,ActionName,The exploit loaded shellcode,1,resolves,the document. The exploit loaded shellcode that downloaded a,resolves
78,ActionName,the FinSpy samples used in Bahrain overwrite the hard disk’s boot sector,1,fetches,samples used in Bahrain overwrite the hard disk’s boot,fetches
79,ActionName,an embedded Flash file that exploited a vulnerability fixed in Adobe Flash 11.4 loading shell code,1,expects,"in Adobe Flash 11.4, loading shell code to download",expects
80,ActionName,a compiled Visual Basic project loads an executable packed with UPX via the RunPE method,1,asks,Visual Basic project that loads via the RunPE method,asks
81,ActionName,The .scr file ran both the bait document and the payload,1,returns,archive that decompressed and ran both the bait document,returns
82,ActionName,the downloader execute additional malware on the victim's system,1,receives,is to download and execute additional malware on the,receives
83,ActionName,the downloader execute an encrypted malicious payload,1,is encrypted,downloader will decrypt and execute Depending on the way,is encrypted
