,label,text-rel,label_num,text-neigh
0,File,the driver creates device named \Device\vstor32 with a symbolic link \DosDevices\vstor32,1,"first executed, the driver creates device named \Device\vstor32 with"
1,File,it cleans out those logs,1,"the server, and then cleans out those logs: 03:52:16 UpLoad:"
2,File,rootkit store configuration and log data,1,by the rootkit to store configuration and log data.
3,File,rootkit The files within that directory are used,1,files within that directory are used by the rootkit to
4,File,the pipe server saving data into a temporary file,1,"their behalf, such as saving data into a temporary"
5,File,the pipe server copy files,1,"into a temporary file, copy delete files, save configuration"
6,File,the pipe server delete files,1,"a temporary file, copy/ delete files, save configuration data"
7,File,write into files,1,to be able to write into files/ registry. To
8,File,it write data,1,"code of 0x222038. To write data, it opens the"
9,File,it CreateFile(\\.\vstor32) opens the device with,1,"To write data, it opens the device with CreateFile(\\.\vstor32),"
10,File,copying all the necessary logs into the shared virtual partition,1,to the driver by copying all the necessary logs
11,File,executed the dropper,1,allowed to run. Once executed the dropper installs the
12,File,The analysed 32-bit dropper creates a driver in the following location,1,The analysed 32-bit dropper creates a driver in the
13,File,The installed hook handler checks if the name of the device is netbt or afd,1,original API and then checks if the name of
14,File,the DLL log the data into the log files,1,that the DLL could log the data into the
15,File,is written that data to the volume,1,encryption/decryption whenever that data is written to or read from
16,File,read that data from the volume,1,is written to or read from the volume. The
17,File,is saved the data into the volume Hd1,1,"result, whenever the data is saved into the volume Hd1,"
18,File,it stores its message queue in a file called,1,"it. For example, it stores its message queue in"
19,File,the Snake driver store its data and additional files on it,1,uses virtual volumes to store its data and additional
20,File,is created,1,"64-bit unsigned driver file is created as usual: %windows%\$NtUninstallQ817473$\fdisk.sys However,"
21,File,the dropper copies itself,1,"that, the dropper first copies itself as: %windows%\$NtUninstallQ817473$\fdisk_mon.exe The"
22,File,the Snake dropper loads a copy of the NT core image (ntoskrnl.exe),1,"memory, the Snake dropper loads a copy of the"
23,File,the Snake dropper SepInitializeCodeIntegrity() within it locates the import of CI.dll’s function CiInitialize(),1,"NT core image (ntoskrnl.exe), locates the import of CI.dll’s"
24,File,it parses the function’s code to locate the offset of the variable,1,within it. Then it parses the function’s code to
25,File,It MS09-025 and MS10-015 exploits running on the target system,1,to do this by running MS09-025 and MS10-015 exploits
26,File,is written the initial message queue file into the virtual volume,1,message queue file which is written into the virtual volume.
27,File,it reads configuration parameters from the configuration queue,1,"the DLL activates, it reads configuration parameters from the"
28,File,the driver creates the configuration queue on a virtual volume,1,"queue, that the driver creates on a virtual volume."
29,File,The data saved into a configuration file %system%\vtmon.bin,1,retrieves is encrypted and saved into a configuration file
30,File,the latest samples of Snake Log files created,1,variants: 1dM3uu4j7Fw4sjnbcwlDqet4F7JyuUi4m5Imnxl1pzxI6as80cbLnmz54cs5Ldn4ri3do5L6gs923HL34x2f5cvd0fk6c1a0s Log files created by the latest samples
31,File,the injected module write into files the sensitive registry hives,1,injected module could still write into files and into
32,File,it The logs and dumps creates on the hidden virtual volumes,1,logs and dumps it creates on the hidden virtual
33,File,written a binary executable file to the disk,1,"file, which is then written to the disk and"
34,File,executed a binary executable file,1,to the disk and executed The second set of
35,File,the dropper creates an additional file called winview.ocx,1,"than 3.26, the dropper creates an additional file called"
36,File,The file is xored with the following obfuscation key,1,the past. The file is xored with the following obfuscation
37,File,the malware checks if an older version is installed on the system,1,notice that the malware checks if an older version
38,File,the dropper removes the older version,1,"the case, the dropper removes the older version. In"
39,File,Uroburos was found on a version of Agent.BTZ a system,1,a version of Agent.BTZ was found on a system. flow
40,File,Two log files are created during the malware execution,1,pipe. Two log files are created during the malware execution:
41,File,is only executed in the main part (payload) of the malware explorer.exe,1,"(payload) of the malware is only executed in explorer.exe. Furthermore, the"
42,File,the attacker delete files,1,"to upload, download, enumerate, delete search, and execute files"
43,File,the attacker search files,1,"upload, download, enumerate, delete, search and execute files as"
44,File,the attacker execute files,1,"enumerate, delete, search, and execute files as well as"
45,File,the backdoor load the legitimate system32\msacm32.drv file,1,the backdoor will also load the legitimate system32\msacm32.drv file
46,File,it cleans traces of the initial loader,1,"stage When launched, it cleans traces of the initial"
47,File,it loads the next part of the toolkit,1,"of the initial loader, loads the next part of"
48,File,Stage 2 On disinfect the compromised device failure,1,2 is able to disinfect the compromised device. The
49,File,"The malware zeroes out its PE (Portable Executable, the Windows executable format) headers in memory",1,"compromised device. The malware zeroes out its PE (Portable Executable,"
50,File,The malware replacing MZ with its own magic marker 0xfedcbafe,1,"format) headers in memory, replacing MZ with its own"
51,File,It initializes the core components of the architecture,1,in Windows’ kernel. It initializes the core components of
52,File,It loads the next parts of the malware,1,of the architecture and loads the next parts of
53,File,a Regin driver loaded a sample,1,it might have been loaded by a Regin driver
54,File,programs access information stored in the computer’s memory,1,the In order to access information stored in the
55,File,was dumped the file from memory,1,hypothesis that the file was dumped from memory during a
56,File,the driver zeroes the content,1,"using ExFreePool(), the driver zeroes the content, probably to"
57,File,the driver remove remaining traces and artifacts,1,sequence of steps to remove remaining traces and artifacts.
58,File,The second thread executing stage two payloads,1,responsible for downloading and executing stage two payloads. Messages
59,File,be written a DLL or EXE to disk,1,or EXE that would be written to disk and executed.
60,File,executed a DLL or EXE,1,written to disk and executed 8: CORESHELL Command ID
61,File,CHOPSTICK creates a hidden file that may be named %ALLUSERSPROFILE%\edg6EF885E2.tmp for temporary storage,1,"collecting host information, CHOPSTICK creates a hidden file that"
62,File,CHOPSTICK stores the encrypted message in an edg6EF885E2.tmp temporary file,1,"using RC4, and then stores the encrypted message in"
63,File,CHOPSTICK deletes the file,1,"edg6EF885E2.tmp are uploaded, CHOPSTICK deletes the file. Figure 13"
64,File,PSM module save the content of Dino modules in an encrypted file,1,the PSM module to save the content of Dino
65,File,the operators look for files,1,allows the operators to look for files very precisely. For
66,File,ramFS offering a disposable execution environment to the operators,1,"executed on the machine, offering a disposable execution environment"
67,File,it executes files,1,"(it downloads, and then executes files, as it offers"
68,File,an attacker overwrite the vftable pointer of a Flash object to redirect code execution,1,permits an attacker to overwrite the vftable pointer of
69,File,it CreateFileA and WriteFile functions writes the file to with disk,1,InternetReadFile functions. Then it writes the file to disk
70,File,it runs the file using the WinExec function,1,"WriteFile functions. Finally, it runs the file using the"
71,File,attack executing designated programs,1,"downloading and uploading files, executing designated programs, injecting keyboard"
72,File,a custom macro set automatically run upon document startup,1,custom macro set to automatically run upon document startup. Under
73,File,a module writes it to disk in a special folder,1,a module encrypts and writes it to disk in
74,File,It over- writes the files,1,"C&C server. It then overwrites the files, renames them"
75,File,It renames them several times,1,"over- writes the files, renames them several times, and"
76,File,It deletes them,1,"them several times, and deletes them, in an apparent"
77,File,The exploit loaded shellcode,1,the document. The exploit loaded shellcode that downloaded a
78,File,the FinSpy samples used in Bahrain overwrite the hard disk’s boot sector,1,samples used in Bahrain overwrite the hard disk’s boot
79,File,an embedded Flash file that exploited a vulnerability fixed in Adobe Flash 11.4 loading shell code,1,"in Adobe Flash 11.4, loading shell code to download"
80,File,a compiled Visual Basic project loads an executable packed with UPX via the RunPE method,1,Visual Basic project that loads via the RunPE method
81,File,The .scr file ran both the bait document and the payload,1,archive that decompressed and ran both the bait document
82,File,the downloader execute additional malware on the victim's system,1,is to download and execute additional malware on the
83,File,the downloader execute an encrypted malicious payload,1,downloader will decrypt and execute Depending on the way
84,File,written two additional files to the victim's hard disk,1,two additional files being written to the victim's hard
85,File,the downloader execute additional malware on the victim's system,1,is to download and execute additional malware on the
86,File,the downloader execute an encrypted malicious payload,1,downloader will decrypt and execute Depending on the way
87,File,written two additional files to the victim's hard disk,1,two additional files being written to the victim's hard
88,File,BE2 stores the downloaded plugins,1,the APT-specific BE2 now stores the downloaded plugins in
89,File,it writes an encrypted Visual Basic Script,1,"on disk. Instead, it writes an encrypted Visual Basic"
90,File,runs it,1,Visual Basic Script and runs it. Atlas exploit payload
91,File,"The malware configuration file is written to the ""SYSTEM"" folder (as opposed to SYSTEM32)",1,"The malware configuration file is written to the ""SYSTEM"" folder"
92,File,suspected Iranian actors destroyed data on with thousands of computers the Shamoon virus,1,suspected Iranian actors have destroyed data on thousands of
93,File,the Shamoon attacks wiped computers in Saudi Arabia and Qatar,1,"the Shamoon attacks, which wiped computers in Saudi Arabia"
94,File,The following files are written to in disk this location,1,Data\IntelRapidStart\. The following files are written to disk in this
95,File,It AppTransferWiz.dll launches via the following command,1,modules. It drops and launches AppTransferWiz.dll via the following
96,File,Harvested data written to on disk the local host,1,data is encrypted and written to disk on the
97,File,an executable write to disk,1,"that, upon execution, will write to disk and execute"
98,File,an executable CozyDuke execute,1,"write to disk and execute CozyDuke, while at the"
99,File,CozyDuke executed droppers for DLL files reminiscent of OnionDuke,1,"some instances, downloaded and executed droppers for DLL files"
100,File,it write two files to disk,1,"Upon execution, it will write two files to disk."
101,File,This dropper write to the main CozyDuke components encrypted configuration file used by CozyDuke disk,1,will then proceed to write to disk the main
102,File,The dropper write the CozyDuke components to the specified location,1,will then proceed to write the CozyDuke components to
103,File,The dropper copy the system file rundll32.exe to the install location for CozyDuke,1,The dropper will additionally copy the system file rundll32.exe
104,File,These tasks involve the execution of modules or executables providing additional functionality,1,tasks. These tasks usually involve the execution of modules
105,File,CozyDuke PE executable files write to disk,1,files that CozyDuke will write to disk and execute
106,File,CozyDuke PE executable files execute on the infected host,1,write to disk and execute on the infected host.
107,File,execute file,1,"execute commands via PowerShell, execute a direct command or"
108,File,save an executable to disk,1,"command or file, or save an executable to disk"
109,File,execute it,1,"executable to disk and execute it. In several cases,"
110,File,This exploit copied a fully functional version of Chrome into the Java cache directory,1,Java exploit. This exploit copied a fully functional version
111,File,being written the ransom note to on disk an infected machine,1,see the ransom note being written to disk on an
112,File,ransomware PCs locks,1,such as ransomware that locks PCs or financial Trojans
113,File,an attacking group overwrote programmable logic controllers (PLCs) with an empty program module,1,tanker loading machinery and overwrote programmable logic controllers (PLCs)
114,File,the malware delete itself from after it three successful propagations,1,own files and even delete itself from it after
115,File,The dropper component creating all the required files on the system,1,component is responsible for creating all the required files
116,File,It execute itself remotely if successfully copied,1,accessible network shares and execute itself remotely if successfully
117,File,The malware overwriting them with a JPEG image or 192KB blocks of random data,1,file names and starts overwriting them with a JPEG
118,File,is copied the valuable information,1,where the valuable information is copied and sent back to
119,File,The malware deletes all files on a computer,1,energy sector. The malware deletes all files Page Targeted
120,File,scan for deleted files on an infected computer,1,utilization. It can also scan for deleted files on
121,File,The initial stages involve the installation and configuration of the threat’s internal services,1,architecture. The initial stages involve the installation and configuration
122,File,it Stage 1 execute,1,it will install and execute Stage 1. It’s likely
123,File,the attackers who operated Regin cleaned up compromised computers,1,attackers who operated Regin cleaned up compromised computers once they
124,File,Regin logs to data the ApplicationLog.dat file,1,04h BYTEsectsize-4 Data Regin logs data to the ApplicationLog.dat
125,File,a file execute the data,1,pipes or sockets and execute the data. The recovered
126,File,Stage 1 looks for the last partition (in terms of physical location) on disk,1,"extended attribute, Stage 1 looks for the last partition"
127,File,Stage 1 searches for in the payload the raw sectors in this area of the disk,1,location) on disk and searches for the payload in
128,File,"the module delete some other, prob- ably older, components which might be present on the system",1,"the module attempts to delete some other, prob- ably"
