,label,text-rel,label_num,text-neigh
0,NoNetwork,the driver creates device named \Device\vstor32 with a symbolic link \DosDevices\vstor32,0,"first executed, the driver creates device named \Device\vstor32 with"
1,NoNetwork,it cleans out those logs,0,"the server, and then cleans out those logs: 03:52:16 UpLoad:"
2,NoNetwork,rootkit store configuration and log data,0,by the rootkit to store configuration and log data.
3,NoNetwork,rootkit The files within that directory are used,0,files within that directory are used by the rootkit to
4,NoNetwork,the pipe server saving data into a temporary file,0,"their behalf, such as saving data into a temporary"
5,NoNetwork,the pipe server copy files,0,"into a temporary file, copy delete files, save configuration"
6,NoNetwork,the pipe server delete files,0,"a temporary file, copy/ delete files, save configuration data"
7,NoNetwork,write into files,0,to be able to write into files/ registry. To
8,NoNetwork,it write data,0,"code of 0x222038. To write data, it opens the"
9,NoNetwork,it CreateFile(\\.\vstor32) opens the device with,0,"To write data, it opens the device with CreateFile(\\.\vstor32),"
10,NoNetwork,copying all the necessary logs into the shared virtual partition,0,to the driver by copying all the necessary logs
11,NoNetwork,executed the dropper,0,allowed to run. Once executed the dropper installs the
12,NoNetwork,The analysed 32-bit dropper creates a driver in the following location,0,The analysed 32-bit dropper creates a driver in the
13,NoNetwork,The installed hook handler checks if the name of the device is netbt or afd,0,original API and then checks if the name of
14,NoNetwork,the DLL log the data into the log files,0,that the DLL could log the data into the
15,NoNetwork,is written that data to the volume,0,encryption/decryption whenever that data is written to or read from
16,NoNetwork,read that data from the volume,0,is written to or read from the volume. The
17,NoNetwork,is saved the data into the volume Hd1,0,"result, whenever the data is saved into the volume Hd1,"
18,NoNetwork,it stores its message queue in a file called,0,"it. For example, it stores its message queue in"
19,NoNetwork,the Snake driver store its data and additional files on it,0,uses virtual volumes to store its data and additional
20,NoNetwork,is created,0,"64-bit unsigned driver file is created as usual: %windows%\$NtUninstallQ817473$\fdisk.sys However,"
21,NoNetwork,the dropper copies itself,0,"that, the dropper first copies itself as: %windows%\$NtUninstallQ817473$\fdisk_mon.exe The"
