,label,text-rel,label_num,text-neigh
0,NoOther,the driver creates device named \Device\vstor32 with a symbolic link \DosDevices\vstor32,0,"first executed, the driver creates device named \Device\vstor32 with"
1,NoOther,it cleans out those logs,0,"the server, and then cleans out those logs: 03:52:16 UpLoad:"
2,NoOther,rootkit store configuration and log data,0,by the rootkit to store configuration and log data.
3,NoOther,rootkit The files within that directory are used,0,files within that directory are used by the rootkit to
4,NoOther,the pipe server saving data into a temporary file,0,"their behalf, such as saving data into a temporary"
5,NoOther,the pipe server copy files,0,"into a temporary file, copy delete files, save configuration"
6,NoOther,the pipe server delete files,0,"a temporary file, copy/ delete files, save configuration data"
7,NoOther,write into files,0,to be able to write into files/ registry. To
8,NoOther,it write data,0,"code of 0x222038. To write data, it opens the"
9,NoOther,it CreateFile(\\.\vstor32) opens the device with,0,"To write data, it opens the device with CreateFile(\\.\vstor32),"
10,NoOther,copying all the necessary logs into the shared virtual partition,0,to the driver by copying all the necessary logs
11,NoOther,executed the dropper,0,allowed to run. Once executed the dropper installs the
12,NoOther,The analysed 32-bit dropper creates a driver in the following location,0,The analysed 32-bit dropper creates a driver in the
13,NoOther,The installed hook handler checks if the name of the device is netbt or afd,0,original API and then checks if the name of
14,NoOther,the DLL log the data into the log files,0,that the DLL could log the data into the
15,NoOther,is written that data to the volume,0,encryption/decryption whenever that data is written to or read from
16,NoOther,read that data from the volume,0,is written to or read from the volume. The
17,NoOther,is saved the data into the volume Hd1,0,"result, whenever the data is saved into the volume Hd1,"
18,NoOther,it stores its message queue in a file called,0,"it. For example, it stores its message queue in"
19,NoOther,the Snake driver store its data and additional files on it,0,uses virtual volumes to store its data and additional
20,NoOther,is created,0,"64-bit unsigned driver file is created as usual: %windows%\$NtUninstallQ817473$\fdisk.sys However,"
21,NoOther,the dropper copies itself,0,"that, the dropper first copies itself as: %windows%\$NtUninstallQ817473$\fdisk_mon.exe The"
22,NoOther,the Snake dropper loads a copy of the NT core image (ntoskrnl.exe),0,"memory, the Snake dropper loads a copy of the"
23,NoOther,the Snake dropper SepInitializeCodeIntegrity() within it locates the import of CI.dll’s function CiInitialize(),0,"NT core image (ntoskrnl.exe), locates the import of CI.dll’s"
24,NoOther,it parses the function’s code to locate the offset of the variable,0,within it. Then it parses the function’s code to
25,NoOther,It MS09-025 and MS10-015 exploits running on the target system,0,to do this by running MS09-025 and MS10-015 exploits
26,NoOther,is written the initial message queue file into the virtual volume,0,message queue file which is written into the virtual volume.
27,NoOther,it reads configuration parameters from the configuration queue,0,"the DLL activates, it reads configuration parameters from the"
28,NoOther,the driver creates the configuration queue on a virtual volume,0,"queue, that the driver creates on a virtual volume."
29,NoOther,The data saved into a configuration file %system%\vtmon.bin,0,retrieves is encrypted and saved into a configuration file
30,NoOther,the latest samples of Snake Log files created,0,variants: 1dM3uu4j7Fw4sjnbcwlDqet4F7JyuUi4m5Imnxl1pzxI6as80cbLnmz54cs5Ldn4ri3do5L6gs923HL34x2f5cvd0fk6c1a0s Log files created by the latest samples
31,NoOther,the injected module write into files the sensitive registry hives,0,injected module could still write into files and into
32,NoOther,it The logs and dumps creates on the hidden virtual volumes,0,logs and dumps it creates on the hidden virtual
33,NoOther,written a binary executable file to the disk,0,"file, which is then written to the disk and"
34,NoOther,executed a binary executable file,0,to the disk and executed The second set of
35,NoOther,the dropper creates an additional file called winview.ocx,0,"than 3.26, the dropper creates an additional file called"
36,NoOther,The file is xored with the following obfuscation key,0,the past. The file is xored with the following obfuscation
37,NoOther,the malware checks if an older version is installed on the system,0,notice that the malware checks if an older version
38,NoOther,the dropper removes the older version,0,"the case, the dropper removes the older version. In"
39,NoOther,Uroburos was found on a version of Agent.BTZ a system,0,a version of Agent.BTZ was found on a system. flow
40,NoOther,Two log files are created during the malware execution,0,pipe. Two log files are created during the malware execution:
41,NoOther,is only executed in the main part (payload) of the malware explorer.exe,0,"(payload) of the malware is only executed in explorer.exe. Furthermore, the"
42,NoOther,the attacker delete files,0,"to upload, download, enumerate, delete search, and execute files"
43,NoOther,the attacker search files,0,"upload, download, enumerate, delete, search and execute files as"
44,NoOther,the attacker execute files,0,"enumerate, delete, search, and execute files as well as"
45,NoOther,the backdoor load the legitimate system32\msacm32.drv file,0,the backdoor will also load the legitimate system32\msacm32.drv file
46,NoOther,it cleans traces of the initial loader,0,"stage When launched, it cleans traces of the initial"
47,NoOther,it loads the next part of the toolkit,0,"of the initial loader, loads the next part of"
48,NoOther,Stage 2 On disinfect the compromised device failure,0,2 is able to disinfect the compromised device. The
49,NoOther,"The malware zeroes out its PE (Portable Executable, the Windows executable format) headers in memory",0,"compromised device. The malware zeroes out its PE (Portable Executable,"
50,NoOther,The malware replacing MZ with its own magic marker 0xfedcbafe,0,"format) headers in memory, replacing MZ with its own"
51,NoOther,It initializes the core components of the architecture,0,in Windows’ kernel. It initializes the core components of
52,NoOther,It loads the next parts of the malware,0,of the architecture and loads the next parts of
53,NoOther,a Regin driver loaded a sample,0,it might have been loaded by a Regin driver
54,NoOther,programs access information stored in the computer’s memory,0,the In order to access information stored in the
55,NoOther,was dumped the file from memory,0,hypothesis that the file was dumped from memory during a
56,NoOther,the driver zeroes the content,0,"using ExFreePool(), the driver zeroes the content, probably to"
57,NoOther,the driver remove remaining traces and artifacts,0,sequence of steps to remove remaining traces and artifacts.
58,NoOther,The second thread executing stage two payloads,0,responsible for downloading and executing stage two payloads. Messages
59,NoOther,be written a DLL or EXE to disk,0,or EXE that would be written to disk and executed.
60,NoOther,executed a DLL or EXE,0,written to disk and executed 8: CORESHELL Command ID
61,NoOther,CHOPSTICK creates a hidden file that may be named %ALLUSERSPROFILE%\edg6EF885E2.tmp for temporary storage,0,"collecting host information, CHOPSTICK creates a hidden file that"
62,NoOther,CHOPSTICK stores the encrypted message in an edg6EF885E2.tmp temporary file,0,"using RC4, and then stores the encrypted message in"
63,NoOther,CHOPSTICK deletes the file,0,"edg6EF885E2.tmp are uploaded, CHOPSTICK deletes the file. Figure 13"
64,NoOther,PSM module save the content of Dino modules in an encrypted file,0,the PSM module to save the content of Dino
65,NoOther,the operators look for files,0,allows the operators to look for files very precisely. For
66,NoOther,ramFS offering a disposable execution environment to the operators,0,"executed on the machine, offering a disposable execution environment"
67,NoOther,it executes files,0,"(it downloads, and then executes files, as it offers"
68,NoOther,an attacker overwrite the vftable pointer of a Flash object to redirect code execution,0,permits an attacker to overwrite the vftable pointer of
69,NoOther,it CreateFileA and WriteFile functions writes the file to with disk,0,InternetReadFile functions. Then it writes the file to disk
70,NoOther,it runs the file using the WinExec function,0,"WriteFile functions. Finally, it runs the file using the"
71,NoOther,attack executing designated programs,0,"downloading and uploading files, executing designated programs, injecting keyboard"
72,NoOther,a custom macro set automatically run upon document startup,0,custom macro set to automatically run upon document startup. Under
73,NoOther,a module writes it to disk in a special folder,0,a module encrypts and writes it to disk in
74,NoOther,It over- writes the files,0,"C&C server. It then overwrites the files, renames them"
75,NoOther,It renames them several times,0,"over- writes the files, renames them several times, and"
76,NoOther,It deletes them,0,"them several times, and deletes them, in an apparent"
77,NoOther,The exploit loaded shellcode,0,the document. The exploit loaded shellcode that downloaded a
78,NoOther,the FinSpy samples used in Bahrain overwrite the hard disk’s boot sector,0,samples used in Bahrain overwrite the hard disk’s boot
79,NoOther,an embedded Flash file that exploited a vulnerability fixed in Adobe Flash 11.4 loading shell code,0,"in Adobe Flash 11.4, loading shell code to download"
80,NoOther,a compiled Visual Basic project loads an executable packed with UPX via the RunPE method,0,Visual Basic project that loads via the RunPE method
81,NoOther,The .scr file ran both the bait document and the payload,0,archive that decompressed and ran both the bait document
82,NoOther,the downloader execute additional malware on the victim's system,0,is to download and execute additional malware on the
83,NoOther,the downloader execute an encrypted malicious payload,0,downloader will decrypt and execute Depending on the way
84,NoOther,written two additional files to the victim's hard disk,0,two additional files being written to the victim's hard
85,NoOther,the downloader execute additional malware on the victim's system,0,is to download and execute additional malware on the
86,NoOther,the downloader execute an encrypted malicious payload,0,downloader will decrypt and execute Depending on the way
87,NoOther,written two additional files to the victim's hard disk,0,two additional files being written to the victim's hard
88,NoOther,BE2 stores the downloaded plugins,0,the APT-specific BE2 now stores the downloaded plugins in
89,NoOther,it writes an encrypted Visual Basic Script,0,"on disk. Instead, it writes an encrypted Visual Basic"
90,NoOther,runs it,0,Visual Basic Script and runs it. Atlas exploit payload
91,NoOther,"The malware configuration file is written to the ""SYSTEM"" folder (as opposed to SYSTEM32)",0,"The malware configuration file is written to the ""SYSTEM"" folder"
92,NoOther,suspected Iranian actors destroyed data on with thousands of computers the Shamoon virus,0,suspected Iranian actors have destroyed data on thousands of
93,NoOther,the Shamoon attacks wiped computers in Saudi Arabia and Qatar,0,"the Shamoon attacks, which wiped computers in Saudi Arabia"
94,NoOther,The following files are written to in disk this location,0,Data\IntelRapidStart\. The following files are written to disk in this
95,NoOther,It AppTransferWiz.dll launches via the following command,0,modules. It drops and launches AppTransferWiz.dll via the following
96,NoOther,Harvested data written to on disk the local host,0,data is encrypted and written to disk on the
97,NoOther,an executable write to disk,0,"that, upon execution, will write to disk and execute"
98,NoOther,an executable CozyDuke execute,0,"write to disk and execute CozyDuke, while at the"
99,NoOther,CozyDuke executed droppers for DLL files reminiscent of OnionDuke,0,"some instances, downloaded and executed droppers for DLL files"
100,NoOther,it write two files to disk,0,"Upon execution, it will write two files to disk."
101,NoOther,This dropper write to the main CozyDuke components encrypted configuration file used by CozyDuke disk,0,will then proceed to write to disk the main
102,NoOther,The dropper write the CozyDuke components to the specified location,0,will then proceed to write the CozyDuke components to
103,NoOther,The dropper copy the system file rundll32.exe to the install location for CozyDuke,0,The dropper will additionally copy the system file rundll32.exe
104,NoOther,These tasks involve the execution of modules or executables providing additional functionality,0,tasks. These tasks usually involve the execution of modules
105,NoOther,CozyDuke PE executable files write to disk,0,files that CozyDuke will write to disk and execute
106,NoOther,CozyDuke PE executable files execute on the infected host,0,write to disk and execute on the infected host.
107,NoOther,execute file,0,"execute commands via PowerShell, execute a direct command or"
108,NoOther,save an executable to disk,0,"command or file, or save an executable to disk"
109,NoOther,execute it,0,"executable to disk and execute it. In several cases,"
110,NoOther,This exploit copied a fully functional version of Chrome into the Java cache directory,0,Java exploit. This exploit copied a fully functional version
111,NoOther,being written the ransom note to on disk an infected machine,0,see the ransom note being written to disk on an
112,NoOther,ransomware PCs locks,0,such as ransomware that locks PCs or financial Trojans
113,NoOther,an attacking group overwrote programmable logic controllers (PLCs) with an empty program module,0,tanker loading machinery and overwrote programmable logic controllers (PLCs)
114,NoOther,the malware delete itself from after it three successful propagations,0,own files and even delete itself from it after
115,NoOther,The dropper component creating all the required files on the system,0,component is responsible for creating all the required files
116,NoOther,It execute itself remotely if successfully copied,0,accessible network shares and execute itself remotely if successfully
117,NoOther,The malware overwriting them with a JPEG image or 192KB blocks of random data,0,file names and starts overwriting them with a JPEG
118,NoOther,is copied the valuable information,0,where the valuable information is copied and sent back to
119,NoOther,The malware deletes all files on a computer,0,energy sector. The malware deletes all files Page Targeted
120,NoOther,scan for deleted files on an infected computer,0,utilization. It can also scan for deleted files on
121,NoOther,The initial stages involve the installation and configuration of the threat’s internal services,0,architecture. The initial stages involve the installation and configuration
122,NoOther,it Stage 1 execute,0,it will install and execute Stage 1. It’s likely
123,NoOther,the attackers who operated Regin cleaned up compromised computers,0,attackers who operated Regin cleaned up compromised computers once they
124,NoOther,Regin logs to data the ApplicationLog.dat file,0,04h BYTEsectsize-4 Data Regin logs data to the ApplicationLog.dat
125,NoOther,a file execute the data,0,pipes or sockets and execute the data. The recovered
126,NoOther,Stage 1 looks for the last partition (in terms of physical location) on disk,0,"extended attribute, Stage 1 looks for the last partition"
127,NoOther,Stage 1 searches for in the payload the raw sectors in this area of the disk,0,location) on disk and searches for the payload in
128,NoOther,"the module delete some other, prob- ably older, components which might be present on the system",0,"the module attempts to delete some other, prob- ably"
129,NoOther,check if current directory has a file named «U»,0,is step is to check if current directory has
130,NoOther,the module wipes the file,0,"180 days, the module wipes TLP: Green For any"
131,NoOther,saved it to in a disk a file named «ctfmon.exe»,0,byte value 0x55 and saved to a disk in
132,NoOther,WinRar SFX file starts the module from %APPDATA%\Microsoft\Display\DmaUp3. exe,0,file that drops and starts the module from %APPDATA%\Microsoft\Display\DmaUp3.
133,NoOther,the malware executes some kind of embedded script,0,local system the malware executes some kind of embedded
134,NoOther,the downloaded file ex- ecutes it,0,7786570139f78e78bc940597) to %APPDATA%\MICROSOFT\DISPLAY and executes it. This component is
135,NoOther,The igfxext.exe component run,0,dropped to disk and run It spawns an- other
136,NoOther,The running process overwrites the igfxext.exe image in with the suspended process this smaller chunk of code,0,0xbb. The running process overwrites the igfxext.exe image in
137,NoOther,code running within svchost.exe on WinXP SP3 This sample is started,0,by certificate. This sample is started by code running within
138,NoOther,"This component writes the retrieved values ondisk to a ran- domly named .tmp, file like ffffz07131101.tmp",0,component then encrypts and writes the retrieved values ondisk
139,NoOther,This keylogger module stores gathered data in a log file,0,keylogger module encrypts and stores gathered data in a
140,NoOther,The file install.exe write two files (doc.exe and test.exe) to the hard-coded path C:\Users\Public,0,file install.exe attempts to write two files (doc.exe and
141,NoOther,"The first dropped file, doc.exe execute test.exe with the elevated privileges",0,and then attempts to execute test.exe with the elevated
142,NoOther,Creates the log file: %TEMP%\~DFD3O8.tmp,0,PE32 DLL Exports: _LowLevelKeyboardProc@12 Creates the log file: %TEMP%\~DFD3O8.tmp.
143,NoOther,read it from disk,0,"executed command), it is read from disk and uploaded"
144,NoOther,One sample write a malicious component to disk,0,primary purpose is to write a malicious component to
145,NoOther,a post exploitation tool remove log data,0,"systems, download additional tools, remove log data, and itself"
