,Unnamed: 0,label,text-rel,label_num,tokens,text-neigh,token,text-rel-processed,text-neigh-processed,text-rel-tokens,text-neigh-tokens
0,0,ActionName,the driver creates device named \Device\vstor32 with a symbolic link \DosDevices\vstor32,1,performs,"first executed, the driver creates device named \Device\vstor32 with",performs,driver creat devic name system-path  symbol link system-path ,first execut driver creat devic name system-path ,"['driver', 'creat', 'devic', 'name', 'system-path', 'symbol', 'link', 'system-path']","['first', 'execut', 'driver', 'creat', 'devic', 'name', 'system-path']"
1,1,ActionName,it cleans out those logs,1,perform,"the server, and then cleans out those logs: 03:52:16 UpLoad:",perform,clean log,server clean logs: 03:52:16 upload:,"['clean', 'log']","['server', 'clean', 'logs:', '03:52:16', 'upload:']"
2,2,ActionName,rootkit store configuration and log data,1,tracking,by the rootkit to store configuration and log data.,tracking,rootkit store configur log data,rootkit store configur log data.,"['rootkit', 'store', 'configur', 'log', 'data']","['rootkit', 'store', 'configur', 'log', 'data.']"
3,3,ActionName,rootkit The files within that directory are used,1,being,files within that directory are used by the rootkit to,being,rootkit file within directori use,file within directori use rootkit,"['rootkit', 'file', 'within', 'directori', 'use']","['file', 'within', 'directori', 'use', 'rootkit']"
4,4,ActionName,the pipe server saving data into a temporary file,1,contain,"their behalf, such as saving data into a temporary",contain,pipe server save data temporari file,behalf save data temporari,"['pipe', 'server', 'save', 'data', 'temporari', 'file']","['behalf', 'save', 'data', 'temporari']"
5,5,ActionName,the pipe server copy files,1,were dropped,"into a temporary file, copy delete files, save configuration",were dropped,pipe server copi file,temporari file copi delet file save configur,"['pipe', 'server', 'copi', 'file']","['temporari', 'file', 'copi', 'delet', 'file', 'save', 'configur']"
6,6,ActionName,the pipe server delete files,1,communicates,"a temporary file, copy/ delete files, save configuration data",communicates,pipe server delet file,temporari file system-path  delet file save configur data,"['pipe', 'server', 'delet', 'file']","['temporari', 'file', 'system-path', 'delet', 'file', 'save', 'configur', 'data']"
7,7,ActionName,write into files,1,decrease,to be able to write into files/ registry. To,decrease,write file,abl write system-path  registry.,"['write', 'file']","['abl', 'write', 'system-path', 'registry.']"
8,8,ActionName,it write data,1,sent,"code of 0x222038. To write data, it opens the",sent,write data,code 0x222038. write data open,"['write', 'data']","['code', '0x222038.', 'write', 'data', 'open']"
9,9,ActionName,it CreateFile(\\.\vstor32) opens the device with,1,dropped,"To write data, it opens the device with CreateFile(\\.\vstor32),",dropped,open devic,write data open devic,"['open', 'devic']","['write', 'data', 'open', 'devic']"
10,10,ActionName,copying all the necessary logs into the shared virtual partition,1,deliver,to the driver by copying all the necessary logs,deliver,copi necessari log share virtual partit,driver copi necessari log,"['copi', 'necessari', 'log', 'share', 'virtual', 'partit']","['driver', 'copi', 'necessari', 'log']"
11,11,ActionName,executed the dropper,1,utilize,allowed to run. Once executed the dropper installs the,utilize,execut dropper,allow run. onc execut dropper instal,"['execut', 'dropper']","['allow', 'run.', 'onc', 'execut', 'dropper', 'instal']"
12,12,ActionName,The analysed 32-bit dropper creates a driver in the following location,1,drops,The analysed 32-bit dropper creates a driver in the,drops,analys 32-bit dropper creat driver follow locat,analys 32-bit dropper creat driver,"['analys', '32-bit', 'dropper', 'creat', 'driver', 'follow', 'locat']","['analys', '32-bit', 'dropper', 'creat', 'driver']"
