,Unnamed: 0,label,text-rel,label_num,text-neigh,text-rel-processed,text-neigh-processed,text-rel-tokens,text-neigh-tokens
0,0,File,the driver creates device named \Device\vstor32 with a symbolic link \DosDevices\vstor32,1,"first executed, the driver creates device named \Device\vstor32 with",driver creat devic name system-path  symbol link system-path ,first execut driver creat devic name system-path ,"['driver', 'creat', 'devic', 'name', 'system-path', 'symbol', 'link', 'system-path']","['first', 'execut', 'driver', 'creat', 'devic', 'name', 'system-path']"
1,1,File,it cleans out those logs,1,"the server, and then cleans out those logs: 03:52:16 UpLoad:",clean log,server clean logs: 03:52:16 upload:,"['clean', 'log']","['server', 'clean', 'logs:', '03:52:16', 'upload:']"
2,2,File,rootkit store configuration and log data,1,by the rootkit to store configuration and log data.,rootkit store configur log data,rootkit store configur log data.,"['rootkit', 'store', 'configur', 'log', 'data']","['rootkit', 'store', 'configur', 'log', 'data.']"
3,3,File,rootkit The files within that directory are used,1,files within that directory are used by the rootkit to,rootkit file within directori use,file within directori use rootkit,"['rootkit', 'file', 'within', 'directori', 'use']","['file', 'within', 'directori', 'use', 'rootkit']"
4,4,File,the pipe server saving data into a temporary file,1,"their behalf, such as saving data into a temporary",pipe server save data temporari file,behalf save data temporari,"['pipe', 'server', 'save', 'data', 'temporari', 'file']","['behalf', 'save', 'data', 'temporari']"
5,5,File,the pipe server copy files,1,"into a temporary file, copy delete files, save configuration",pipe server copi file,temporari file copi delet file save configur,"['pipe', 'server', 'copi', 'file']","['temporari', 'file', 'copi', 'delet', 'file', 'save', 'configur']"
6,6,File,the pipe server delete files,1,"a temporary file, copy/ delete files, save configuration data",pipe server delet file,temporari file system-path  delet file save configur data,"['pipe', 'server', 'delet', 'file']","['temporari', 'file', 'system-path', 'delet', 'file', 'save', 'configur', 'data']"
7,7,File,write into files,1,to be able to write into files/ registry. To,write file,abl write system-path  registry.,"['write', 'file']","['abl', 'write', 'system-path', 'registry.']"
8,8,File,it write data,1,"code of 0x222038. To write data, it opens the",write data,code 0x222038. write data open,"['write', 'data']","['code', '0x222038.', 'write', 'data', 'open']"
9,9,File,it CreateFile(\\.\vstor32) opens the device with,1,"To write data, it opens the device with CreateFile(\\.\vstor32),",open devic,write data open devic,"['open', 'devic']","['write', 'data', 'open', 'devic']"
10,10,File,copying all the necessary logs into the shared virtual partition,1,to the driver by copying all the necessary logs,copi necessari log share virtual partit,driver copi necessari log,"['copi', 'necessari', 'log', 'share', 'virtual', 'partit']","['driver', 'copi', 'necessari', 'log']"
11,11,File,executed the dropper,1,allowed to run. Once executed the dropper installs the,execut dropper,allow run. onc execut dropper instal,"['execut', 'dropper']","['allow', 'run.', 'onc', 'execut', 'dropper', 'instal']"
12,12,File,The analysed 32-bit dropper creates a driver in the following location,1,The analysed 32-bit dropper creates a driver in the,analys 32-bit dropper creat driver follow locat,analys 32-bit dropper creat driver,"['analys', '32-bit', 'dropper', 'creat', 'driver', 'follow', 'locat']","['analys', '32-bit', 'dropper', 'creat', 'driver']"
13,13,File,The installed hook handler checks if the name of the device is netbt or afd,1,original API and then checks if the name of,instal hook handler check name devic netbt afd,origin api check name,"['instal', 'hook', 'handler', 'check', 'name', 'devic', 'netbt', 'afd']","['origin', 'api', 'check', 'name']"
14,14,File,the DLL log the data into the log files,1,that the DLL could log the data into the,dll log data log file,dll could log data,"['dll', 'log', 'data', 'log', 'file']","['dll', 'could', 'log', 'data']"
15,15,File,is written that data to the volume,1,encryption/decryption whenever that data is written to or read from,written data volum,system-path  whenev data written read,"['written', 'data', 'volum']","['system-path', 'whenev', 'data', 'written', 'read']"
16,16,File,read that data from the volume,1,is written to or read from the volume. The,read data volum,written read volume.,"['read', 'data', 'volum']","['written', 'read', 'volume.']"
17,17,File,is saved the data into the volume Hd1,1,"result, whenever the data is saved into the volume Hd1,",save data volum hd1,result whenev data save volum hd1,"['save', 'data', 'volum', 'hd1']","['result', 'whenev', 'data', 'save', 'volum', 'hd1']"
18,18,File,it stores its message queue in a file called,1,"it. For example, it stores its message queue in",store messag queue file call,it. exampl store messag queue,"['store', 'messag', 'queue', 'file', 'call']","['it.', 'exampl', 'store', 'messag', 'queue']"
19,19,File,the Snake driver store its data and additional files on it,1,uses virtual volumes to store its data and additional,snake driver store data addit file,use virtual volum store data addit,"['snake', 'driver', 'store', 'data', 'addit', 'file']","['use', 'virtual', 'volum', 'store', 'data', 'addit']"
20,20,File,is created,1,"64-bit unsigned driver file is created as usual: %windows%\$NtUninstallQ817473$\fdisk.sys However,",creat,64-bit unsign driver file creat usual: hash-code howev,['creat'],"['64-bit', 'unsign', 'driver', 'file', 'creat', 'usual:', 'hash-code', 'howev']"
21,21,File,the dropper copies itself,1,"that, the dropper first copies itself as: %windows%\$NtUninstallQ817473$\fdisk_mon.exe The",dropper copi,dropper first copi as: hash-code,"['dropper', 'copi']","['dropper', 'first', 'copi', 'as:', 'hash-code']"
22,22,File,the Snake dropper loads a copy of the NT core image (ntoskrnl.exe),1,"memory, the Snake dropper loads a copy of the",snake dropper load copi nt core imag ntoskrnl.ex,memori snake dropper load copi,"['snake', 'dropper', 'load', 'copi', 'nt', 'core', 'imag', 'ntoskrnl.ex']","['memori', 'snake', 'dropper', 'load', 'copi']"
23,23,File,the Snake dropper SepInitializeCodeIntegrity() within it locates the import of CI.dll’s function CiInitialize(),1,"NT core image (ntoskrnl.exe), locates the import of CI.dll’s",snake dropper within locat import  dll-file function ciiniti,nt core imag ntoskrnl.ex locat import  dll-file,"['snake', 'dropper', 'within', 'locat', 'import', 'dll-file', 'function', 'ciiniti']","['nt', 'core', 'imag', 'ntoskrnl.ex', 'locat', 'import', 'dll-file']"
24,24,File,it parses the function’s code to locate the offset of the variable,1,within it. Then it parses the function’s code to,pars function code locat offset variabl,within it. pars function code,"['pars', 'function', 'code', 'locat', 'offset', 'variabl']","['within', 'it.', 'pars', 'function', 'code']"
25,25,File,It MS09-025 and MS10-015 exploits running on the target system,1,to do this by running MS09-025 and MS10-015 exploits,ms09-025 ms10-015 exploit run target system,thi run ms09-025 ms10-015 exploit,"['ms09-025', 'ms10-015', 'exploit', 'run', 'target', 'system']","['thi', 'run', 'ms09-025', 'ms10-015', 'exploit']"
26,26,File,is written the initial message queue file into the virtual volume,1,message queue file which is written into the virtual volume.,written initi messag queue file virtual volum,messag queue file written virtual volume.,"['written', 'initi', 'messag', 'queue', 'file', 'virtual', 'volum']","['messag', 'queue', 'file', 'written', 'virtual', 'volume.']"
27,27,File,it reads configuration parameters from the configuration queue,1,"the DLL activates, it reads configuration parameters from the",read configur paramet configur queue,dll activ read configur paramet,"['read', 'configur', 'paramet', 'configur', 'queue']","['dll', 'activ', 'read', 'configur', 'paramet']"
28,28,File,the driver creates the configuration queue on a virtual volume,1,"queue, that the driver creates on a virtual volume.",driver creat configur queue virtual volum,queue driver creat virtual volume.,"['driver', 'creat', 'configur', 'queue', 'virtual', 'volum']","['queue', 'driver', 'creat', 'virtual', 'volume.']"
29,29,File,The data saved into a configuration file %system%\vtmon.bin,1,retrieves is encrypted and saved into a configuration file,data save configur file system-path  bin-file some-variable,retriev encrypt save configur file,"['data', 'save', 'configur', 'file', 'system-path', 'bin-file', 'some-variable']","['retriev', 'encrypt', 'save', 'configur', 'file']"
30,30,File,the latest samples of Snake Log files created,1,variants: 1dM3uu4j7Fw4sjnbcwlDqet4F7JyuUi4m5Imnxl1pzxI6as80cbLnmz54cs5Ldn4ri3do5L6gs923HL34x2f5cvd0fk6c1a0s Log files created by the latest samples,latest sampl snake log file creat,variants: hash-code log file creat latest sampl,"['latest', 'sampl', 'snake', 'log', 'file', 'creat']","['variants:', 'hash-code', 'log', 'file', 'creat', 'latest', 'sampl']"
31,31,File,the injected module write into files the sensitive registry hives,1,injected module could still write into files and into,inject modul write file sensit registri hive,inject modul could still write file,"['inject', 'modul', 'write', 'file', 'sensit', 'registri', 'hive']","['inject', 'modul', 'could', 'still', 'write', 'file']"
32,32,File,it The logs and dumps creates on the hidden virtual volumes,1,logs and dumps it creates on the hidden virtual,log dump creat hidden virtual volum,log dump creat hidden virtual,"['log', 'dump', 'creat', 'hidden', 'virtual', 'volum']","['log', 'dump', 'creat', 'hidden', 'virtual']"
33,33,File,written a binary executable file to the disk,1,"file, which is then written to the disk and",written binari execut file disk,file written disk,"['written', 'binari', 'execut', 'file', 'disk']","['file', 'written', 'disk']"
34,34,File,executed a binary executable file,1,to the disk and executed The second set of,execut binari execut file,disk execut second set,"['execut', 'binari', 'execut', 'file']","['disk', 'execut', 'second', 'set']"
35,35,File,the dropper creates an additional file called winview.ocx,1,"than 3.26, the dropper creates an additional file called",dropper creat addit file call  ocx-file,3.26 dropper creat addit file call,"['dropper', 'creat', 'addit', 'file', 'call', 'ocx-file']","['3.26', 'dropper', 'creat', 'addit', 'file', 'call']"
36,36,File,The file is xored with the following obfuscation key,1,the past. The file is xored with the following obfuscation,file xore follow obfusc key,past. file xore follow obfusc,"['file', 'xore', 'follow', 'obfusc', 'key']","['past.', 'file', 'xore', 'follow', 'obfusc']"
37,37,File,the malware checks if an older version is installed on the system,1,notice that the malware checks if an older version,malwar check older version instal system,notic malwar check older version,"['malwar', 'check', 'older', 'version', 'instal', 'system']","['notic', 'malwar', 'check', 'older', 'version']"
38,38,File,the dropper removes the older version,1,"the case, the dropper removes the older version. In",dropper remov older version,case dropper remov older version.,"['dropper', 'remov', 'older', 'version']","['case', 'dropper', 'remov', 'older', 'version.']"
39,39,File,Uroburos was found on a version of Agent.BTZ a system,1,a version of Agent.BTZ was found on a system. flow,uroburo wa found version  btz-file system,version  btz-file wa found system. flow,"['uroburo', 'wa', 'found', 'version', 'btz-file', 'system']","['version', 'btz-file', 'wa', 'found', 'system.', 'flow']"
40,40,File,Two log files are created during the malware execution,1,pipe. Two log files are created during the malware execution:,two log file creat dure malwar execut,pipe. two log file creat dure malwar execution:,"['two', 'log', 'file', 'creat', 'dure', 'malwar', 'execut']","['pipe.', 'two', 'log', 'file', 'creat', 'dure', 'malwar', 'execution:']"
41,41,File,is only executed in the main part (payload) of the malware explorer.exe,1,"(payload) of the malware is only executed in explorer.exe. Furthermore, the",onli execut main part payload malwar explorer.ex,payload malwar onli execut  exe-file furthermor,"['onli', 'execut', 'main', 'part', 'payload', 'malwar', 'explorer.ex']","['payload', 'malwar', 'onli', 'execut', 'exe-file', 'furthermor']"
42,42,File,the attacker delete files,1,"to upload, download, enumerate, delete search, and execute files",attack delet file,upload download enumer delet search execut file,"['attack', 'delet', 'file']","['upload', 'download', 'enumer', 'delet', 'search', 'execut', 'file']"
43,43,File,the attacker search files,1,"upload, download, enumerate, delete, search and execute files as",attack search file,upload download enumer delet search execut file,"['attack', 'search', 'file']","['upload', 'download', 'enumer', 'delet', 'search', 'execut', 'file']"
44,44,File,the attacker execute files,1,"enumerate, delete, search, and execute files as well as",attack execut file,enumer delet search execut file well,"['attack', 'execut', 'file']","['enumer', 'delet', 'search', 'execut', 'file', 'well']"
45,45,File,the backdoor load the legitimate system32\msacm32.drv file,1,the backdoor will also load the legitimate system32\msacm32.drv file,backdoor load legitim system-path  file drv-file,backdoor also load legitim system-path  file drv-file,"['backdoor', 'load', 'legitim', 'system-path', 'file', 'drv-file']","['backdoor', 'also', 'load', 'legitim', 'system-path', 'file', 'drv-file']"
46,46,File,it cleans traces of the initial loader,1,"stage When launched, it cleans traces of the initial",clean trace initi loader,stage launch clean trace initi,"['clean', 'trace', 'initi', 'loader']","['stage', 'launch', 'clean', 'trace', 'initi']"
47,47,File,it loads the next part of the toolkit,1,"of the initial loader, loads the next part of",load next part toolkit,initi loader load next part,"['load', 'next', 'part', 'toolkit']","['initi', 'loader', 'load', 'next', 'part']"
48,48,File,Stage 2 On disinfect the compromised device failure,1,2 is able to disinfect the compromised device. The,stage disinfect compromis devic failur,abl disinfect compromis device.,"['stage', 'disinfect', 'compromis', 'devic', 'failur']","['abl', 'disinfect', 'compromis', 'device.']"
49,49,File,"The malware zeroes out its PE (Portable Executable, the Windows executable format) headers in memory",1,"compromised device. The malware zeroes out its PE (Portable Executable,",malwar zero pe portabl execut window execut format header memori,compromis device. malwar zero pe portabl execut,"['malwar', 'zero', 'pe', 'portabl', 'execut', 'window', 'execut', 'format', 'header', 'memori']","['compromis', 'device.', 'malwar', 'zero', 'pe', 'portabl', 'execut']"
50,50,File,The malware replacing MZ with its own magic marker 0xfedcbafe,1,"format) headers in memory, replacing MZ with its own",malwar replac mz magic marker 0xfedcbaf,format header memori replac mz,"['malwar', 'replac', 'mz', 'magic', 'marker', '0xfedcbaf']","['format', 'header', 'memori', 'replac', 'mz']"
51,51,File,It initializes the core components of the architecture,1,in Windows’ kernel. It initializes the core components of,initi core compon architectur,window kernel. initi core compon,"['initi', 'core', 'compon', 'architectur']","['window', 'kernel.', 'initi', 'core', 'compon']"
52,52,File,It loads the next parts of the malware,1,of the architecture and loads the next parts of,load next part malwar,architectur load next part,"['load', 'next', 'part', 'malwar']","['architectur', 'load', 'next', 'part']"
53,53,File,a Regin driver loaded a sample,1,it might have been loaded by a Regin driver,regin driver load sampl,might load regin driver,"['regin', 'driver', 'load', 'sampl']","['might', 'load', 'regin', 'driver']"
54,54,File,programs access information stored in the computer’s memory,1,the In order to access information stored in the,program access inform store comput memori,order access inform store,"['program', 'access', 'inform', 'store', 'comput', 'memori']","['order', 'access', 'inform', 'store']"
55,55,File,was dumped the file from memory,1,hypothesis that the file was dumped from memory during a,wa dump file memori,hypothesi file wa dump memori dure,"['wa', 'dump', 'file', 'memori']","['hypothesi', 'file', 'wa', 'dump', 'memori', 'dure']"
56,56,File,the driver zeroes the content,1,"using ExFreePool(), the driver zeroes the content, probably to",driver zero content,use exfreepool driver zero content probabl,"['driver', 'zero', 'content']","['use', 'exfreepool', 'driver', 'zero', 'content', 'probabl']"
57,57,File,the driver remove remaining traces and artifacts,1,sequence of steps to remove remaining traces and artifacts.,driver remov remain trace artifact,sequenc step remov remain trace artifacts.,"['driver', 'remov', 'remain', 'trace', 'artifact']","['sequenc', 'step', 'remov', 'remain', 'trace', 'artifacts.']"
58,58,File,The second thread executing stage two payloads,1,responsible for downloading and executing stage two payloads. Messages,second thread execut stage two payload,respons download execut stage two payloads. messag,"['second', 'thread', 'execut', 'stage', 'two', 'payload']","['respons', 'download', 'execut', 'stage', 'two', 'payloads.', 'messag']"
59,59,File,be written a DLL or EXE to disk,1,or EXE that would be written to disk and executed.,written dll exe disk,exe would written disk executed.,"['written', 'dll', 'exe', 'disk']","['exe', 'would', 'written', 'disk', 'executed.']"
60,60,File,executed a DLL or EXE,1,written to disk and executed 8: CORESHELL Command ID,execut dll exe,written disk execut 8: coreshel command id,"['execut', 'dll', 'exe']","['written', 'disk', 'execut', '8:', 'coreshel', 'command', 'id']"
61,61,File,CHOPSTICK creates a hidden file that may be named %ALLUSERSPROFILE%\edg6EF885E2.tmp for temporary storage,1,"collecting host information, CHOPSTICK creates a hidden file that",chopstick creat hidden file may name hash-code temporari storag,collect host inform chopstick creat hidden file,"['chopstick', 'creat', 'hidden', 'file', 'may', 'name', 'hash-code', 'temporari', 'storag']","['collect', 'host', 'inform', 'chopstick', 'creat', 'hidden', 'file']"
62,62,File,CHOPSTICK stores the encrypted message in an edg6EF885E2.tmp temporary file,1,"using RC4, and then stores the encrypted message in",chopstick store encrypt messag  tmp-file temporari file,use rc4 store encrypt messag,"['chopstick', 'store', 'encrypt', 'messag', 'tmp-file', 'temporari', 'file']","['use', 'rc4', 'store', 'encrypt', 'messag']"
63,63,File,CHOPSTICK deletes the file,1,"edg6EF885E2.tmp are uploaded, CHOPSTICK deletes the file. Figure 13",chopstick delet file, tmp-file upload chopstick delet file. figur 13,"['chopstick', 'delet', 'file']","['tmp-file', 'upload', 'chopstick', 'delet', 'file.', 'figur', '13']"
