,Unnamed: 0,label,text-rel,label_num,text-neigh,text-rel-processed,text-neigh-processed,text-rel-tokens,text-neigh-tokens
0,0,NoOther,the driver creates device named \Device\vstor32 with a symbolic link \DosDevices\vstor32,0,"first executed, the driver creates device named \Device\vstor32 with",driver creat devic name system-path  symbol link system-path ,first execut driver creat devic name system-path ,"['driver', 'creat', 'devic', 'name', 'system-path', 'symbol', 'link', 'system-path']","['first', 'execut', 'driver', 'creat', 'devic', 'name', 'system-path']"
1,1,NoOther,it cleans out those logs,0,"the server, and then cleans out those logs: 03:52:16 UpLoad:",clean log,server clean logs: 03:52:16 upload:,"['clean', 'log']","['server', 'clean', 'logs:', '03:52:16', 'upload:']"
2,2,NoOther,rootkit store configuration and log data,0,by the rootkit to store configuration and log data.,rootkit store configur log data,rootkit store configur log data.,"['rootkit', 'store', 'configur', 'log', 'data']","['rootkit', 'store', 'configur', 'log', 'data.']"
3,3,NoOther,rootkit The files within that directory are used,0,files within that directory are used by the rootkit to,rootkit file within directori use,file within directori use rootkit,"['rootkit', 'file', 'within', 'directori', 'use']","['file', 'within', 'directori', 'use', 'rootkit']"
4,4,NoOther,the pipe server saving data into a temporary file,0,"their behalf, such as saving data into a temporary",pipe server save data temporari file,behalf save data temporari,"['pipe', 'server', 'save', 'data', 'temporari', 'file']","['behalf', 'save', 'data', 'temporari']"
5,5,NoOther,the pipe server copy files,0,"into a temporary file, copy delete files, save configuration",pipe server copi file,temporari file copi delet file save configur,"['pipe', 'server', 'copi', 'file']","['temporari', 'file', 'copi', 'delet', 'file', 'save', 'configur']"
6,6,NoOther,the pipe server delete files,0,"a temporary file, copy/ delete files, save configuration data",pipe server delet file,temporari file system-path  delet file save configur data,"['pipe', 'server', 'delet', 'file']","['temporari', 'file', 'system-path', 'delet', 'file', 'save', 'configur', 'data']"
7,7,NoOther,write into files,0,to be able to write into files/ registry. To,write file,abl write system-path  registry.,"['write', 'file']","['abl', 'write', 'system-path', 'registry.']"
8,8,NoOther,it write data,0,"code of 0x222038. To write data, it opens the",write data,code 0x222038. write data open,"['write', 'data']","['code', '0x222038.', 'write', 'data', 'open']"
9,9,NoOther,it CreateFile(\\.\vstor32) opens the device with,0,"To write data, it opens the device with CreateFile(\\.\vstor32),",open devic,write data open devic,"['open', 'devic']","['write', 'data', 'open', 'devic']"
