,text-rel,token,ActionName,Capability
0,ScanBox performs keylogging of users when they visit a compromised website,performs,-,other
1,an attacker perform reconnaissance and key logging of visitors to compromised websites,perform,-,other
2,tracking files and drives present on the victim machine,tracking,-,other
3,it being a command and control destination for malware,being,-,command_and_control
4,the e-mails contain links to websites hosting ScanBox,contain,-,infection_propagation
5,Both backdoors were dropped from malicious documents built utilizing the Tran Duy Linh exploit kit,were dropped,Network,other
6,backdoor HTTP communicates via to a hard-coded command and control (C2) server,communicates,-,other
7,this change decrease detection,decrease,-,other
8,sent a spear phish email to a Taiwanese government ministry,sent,Network,infection_propagation
9,The exploit document dropped the HIGHTIDE backdoor,dropped,-,-
10,APT12 deliver these exploit documents via phishing emails,deliver,Network,infection_propagation
11,the threat group utilize phishing,utilize,-,infection_propagation
12,it HIGHTIDE drops,drops,Network,other
13,The RIPTIDE exploit document drops its executable file,drops,Network,other
14,the HIGHTIDE exploit document drops its executable file,drops,Network,other
15,a different spear phish email sent from to lilywang823@gmail.com a technology company located in Taiwan,sent,Network,infection_propagation
16,this malicious document dropped a backdoor,dropped,Network,other
17,This spear phish contained a malicious Word document that exploited CVE-2012-0158,contained,Network,other
18,spear phishing emails targeting a high-technology company in Japan,targeting,Network,infection_propagation
19,Attached to another malicious document this email,Attached,Network,other
20,This malicious Word document dropped a backdoor,dropped,Network,other
21,an HTTP-based backdoor communicates with its C2 server,communicates,-,command_and_control
22,Aumlib encodes certain HTTP communications,encodes,-,command_and_control
23,a new version of Ixeshe uses new network traffic patterns to evade traditional network security systems,uses,-,other
24,the attackers behind the intrusion deployed updated versions of their Backdoor.APT.Aumlib and Backdoor.APT.Ixeshe malware families,deployed,-,other
25,Older variants of this malware family generated the following POST request,generated,Other,command_and_control
26,Data sent via this POST request,sent,Other,command_and_control
27,The POST body is now encoded,is now encoded,-,other
28,The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,connected,Network,command_and_control
29,The sample cb3dcde34fd9ff0e19381d99b02f9692 generated a POST request to /bbs/info.asp,generated,Other,command_and_control
30,is encoded the network traffic with a custom Base64 alphabet,is encoded,-,other
31,This sample (aa873ed803ca800ce92a39d9a683c644) evade existing network traffic signatures designed to detect Ixeshe related infections,evade,-,other
32,The Base64-encoded data contains information including the victim’s hostname and IP address,contains,-,other
33,They maintain persistent access to their targets,maintain,-,other
34,These tools be used for in covert communications a number of different modes,be used,-,other
35,some of which present significant challenges for traditional security technologies to detect,present,-,other
36,two distinct variants establishing and maintaining a presence on the target system,establishing and maintaining,-,other
37,It covertly install a backdoor on a compromised system,covertly install,-,other
38,It hide the presence of its components,hide,-,other
39,It provide a communication mechanism with its C&C servers,provide,-,command_and_control
40,It enable an effective data exfiltration mechanism,enable,-,other
41,are carried out the network communications from the userland,are carried out,-,command_and_control
42,a kernel mode driver are handled the network communications,are handled,-,command_and_control
43,The choice of what architecture should be used depend on a specific target’s environment,depend on,-,other
44,installed a kernel mode driver,installed,Other,infection_propagation
45,the driver injected a usermode DLL into the system processes,injected,Other,other
