,label,text-neigh,label_num,text-rel,token
0,Capability,also been observed as being a command and control,1,it being a command and control destination for malware,performs
1,Capability,an HTTP-based backdoor that communicates with its C2 server.,1,an HTTP-based backdoor communicates with its C2 server,perform
2,Capability,"in targeted attacks, now encodes certain HTTP communications. FireEye",1,Aumlib encodes certain HTTP communications,tracking
3,Capability,of this malware family generated the following POST request:,1,Older variants of this malware family generated the following POST request,being
4,Capability,POST /bbs/info.asp HTTP/1.1 Data sent via this POST request,1,Data sent via this POST request,contain
5,Capability,cb3dcde34fd9ff0e19381d99b02f9692. The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,1,The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,were dropped
6,Capability,www.documents.myPicture.info and as expected generated the a POST request,1,The sample cb3dcde34fd9ff0e19381d99b02f9692 generated a POST request to /bbs/info.asp,communicates
7,Capability,"presence of its components, provide a communication mechanism with",1,It provide a communication mechanism with its C&C servers,decrease
8,Capability,"model, the network communications are carried out from the userland -",1,are carried out the network communications from the userland,sent
9,Capability,"model, the network communications are handled by a kernel mode",1,a kernel mode driver are handled the network communications,dropped
10,Capability,"usermode processes, and then use that module for the",1,the Snake driver use that module for the communications,deliver
11,Capability,"link \DosDevices\vstor32. This device is used for userland/kernel communications. Next,",1,This device is used for userland/kernel communications,utilize
12,Capability,"Once injected, the module initiates polling from one of",1,the module initiates from polling one of the hard-coded C&C servers,drops
13,Capability,the C&C servers it relies on are hard-coded in the,1,it The domain names of the C&C servers relies on,drops
14,Capability,"above, the malware first resolves the domain name of",1,the malware resolves the domain name of its C&C,drops
15,Capability,"its C&C. Next, it fetches a file /D/pub.txt, and",1,it fetches a file /D/pub.txt,sent
16,Capability,"a file /D/pub.txt, and expects the server to respond",1,"it expects the server to respond with a string 1, acknowledging it’s active",dropped
17,Capability,"command(s) Once acknowledged, it asks the server for a",1,it asks the server for a command,contained
18,Capability,"command, and the server returns a new command to",1,the server returns a new command to execute,targeting
19,Capability,2014 The command it receives from C&C above (swim.onlinewebshop.net),1,it C&C The command receives from,Attached
20,Capability,"by Agent.BTZ. Next, it calculates and confirms a CRC32 checksum within",1,it calculates and confirms a CRC32 checksum within the command,dropped
21,Capability,"encrypted. In order to decrypt it, the malware first",1,the malware decrypt it,communicates
22,Capability,"it, the malware first applies the XOR mask to",1,the malware applies the XOR mask to the bytes that start from offset 0x40,encodes
23,Capability,"within the command, further decrypts the data by using",1,it decrypts the data by using the Number Theory Library (NTL),uses
24,Capability,"Theory Library (NTL), and makes sure the command is destined",1,it makes sure the command is destined to the current host by matching the ID field in it,deployed
25,Capability,"Once decrypted, the malware interprets the received command, as",1,the malware interprets the received command,generated
26,Capability,"After that, the malware connects to the new C&C,",1,the malware connects to the new C&C,sent
