,Unnamed: 0,label,text-neigh,label_num,text-rel,token,text-neigh-processed,text-rel-processed,text-neigh-tokens,text-rel-tokens
0,0,Capability,also been observed as being a command and control,1,it being a command and control destination for malware,performs,also observ command control,command control destin malwar,"['also', 'observ', 'command', 'control']","['command', 'control', 'destin', 'malwar']"
1,1,Capability,an HTTP-based backdoor that communicates with its C2 server.,1,an HTTP-based backdoor communicates with its C2 server,perform,http-base backdoor commun c2 server.,http-base backdoor commun c2 server,"['http-base', 'backdoor', 'commun', 'c2', 'server.']","['http-base', 'backdoor', 'commun', 'c2', 'server']"
2,2,Capability,"in targeted attacks, now encodes certain HTTP communications. FireEye",1,Aumlib encodes certain HTTP communications,tracking,target attack encod certain http communications. fireey,aumlib encod certain http commun,"['target', 'attack', 'encod', 'certain', 'http', 'communications.', 'fireey']","['aumlib', 'encod', 'certain', 'http', 'commun']"
3,3,Capability,of this malware family generated the following POST request:,1,Older variants of this malware family generated the following POST request,being,thi malwar famili gener follow post request:,older variant thi malwar famili gener follow post request,"['thi', 'malwar', 'famili', 'gener', 'follow', 'post', 'request:']","['older', 'variant', 'thi', 'malwar', 'famili', 'gener', 'follow', 'post', 'request']"
4,4,Capability,POST /bbs/info.asp HTTP/1.1 Data sent via this POST request,1,Data sent via this POST request,contain,post system-path  system-path  data sent via thi post request asp-file,data sent via thi post request,"['post', 'system-path', 'system-path', 'data', 'sent', 'via', 'thi', 'post', 'request', 'asp-file']","['data', 'sent', 'via', 'thi', 'post', 'request']"
5,5,Capability,cb3dcde34fd9ff0e19381d99b02f9692. The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,1,The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,were dropped,hash-code sampl hash-code connect,sampl hash-code connect,"['hash-code', 'sampl', 'hash-code', 'connect']","['sampl', 'hash-code', 'connect']"
6,6,Capability,www.documents.myPicture.info and as expected generated the a POST request,1,The sample cb3dcde34fd9ff0e19381d99b02f9692 generated a POST request to /bbs/info.asp,communicates,expect gener post request,sampl hash-code gener post request system-path  asp-file,"['expect', 'gener', 'post', 'request']","['sampl', 'hash-code', 'gener', 'post', 'request', 'system-path', 'asp-file']"
7,7,Capability,"presence of its components, provide a communication mechanism with",1,It provide a communication mechanism with its C&C servers,decrease,presenc compon provid commun mechan,provid commun mechan c&c server,"['presenc', 'compon', 'provid', 'commun', 'mechan']","['provid', 'commun', 'mechan', 'c&c', 'server']"
8,8,Capability,"model, the network communications are carried out from the userland -",1,are carried out the network communications from the userland,sent,model network commun carri userland,carri network commun userland,"['model', 'network', 'commun', 'carri', 'userland']","['carri', 'network', 'commun', 'userland']"
9,9,Capability,"model, the network communications are handled by a kernel mode",1,a kernel mode driver are handled the network communications,dropped,model network commun handl kernel mode,kernel mode driver handl network commun,"['model', 'network', 'commun', 'handl', 'kernel', 'mode']","['kernel', 'mode', 'driver', 'handl', 'network', 'commun']"
10,10,Capability,"usermode processes, and then use that module for the",1,the Snake driver use that module for the communications,deliver,usermod process use modul,snake driver use modul commun,"['usermod', 'process', 'use', 'modul']","['snake', 'driver', 'use', 'modul', 'commun']"
11,11,Capability,"link \DosDevices\vstor32. This device is used for userland/kernel communications. Next,",1,This device is used for userland/kernel communications,utilize,link system-path  thi devic use system-path  communications. next,thi devic use system-path  commun,"['link', 'system-path', 'thi', 'devic', 'use', 'system-path', 'communications.', 'next']","['thi', 'devic', 'use', 'system-path', 'commun']"
12,12,Capability,"Once injected, the module initiates polling from one of",1,the module initiates from polling one of the hard-coded C&C servers,drops,onc inject modul initi poll one,modul initi poll one hard-cod c&c server,"['onc', 'inject', 'modul', 'initi', 'poll', 'one']","['modul', 'initi', 'poll', 'one', 'hard-cod', 'c&c', 'server']"
13,13,Capability,the C&C servers it relies on are hard-coded in the,1,it The domain names of the C&C servers relies on,drops,c&c server reli hard-cod,domain name c&c server reli,"['c&c', 'server', 'reli', 'hard-cod']","['domain', 'name', 'c&c', 'server', 'reli']"
14,14,Capability,"above, the malware first resolves the domain name of",1,the malware resolves the domain name of its C&C,drops,abov malwar first resolv domain name,malwar resolv domain name c&c,"['abov', 'malwar', 'first', 'resolv', 'domain', 'name']","['malwar', 'resolv', 'domain', 'name', 'c&c']"
15,15,Capability,"its C&C. Next, it fetches a file /D/pub.txt, and",1,it fetches a file /D/pub.txt,sent,c&c. next fetch file system-path  txt-file,fetch file system-path  txt-file,"['c&c.', 'next', 'fetch', 'file', 'system-path', 'txt-file']","['fetch', 'file', 'system-path', 'txt-file']"
16,16,Capability,"a file /D/pub.txt, and expects the server to respond",1,"it expects the server to respond with a string 1, acknowledging it’s active",dropped,file system-path  expect server respond txt-file,expect server respond string acknowledg activ,"['file', 'system-path', 'expect', 'server', 'respond', 'txt-file']","['expect', 'server', 'respond', 'string', 'acknowledg', 'activ']"
17,17,Capability,"command(s) Once acknowledged, it asks the server for a",1,it asks the server for a command,contained,command onc acknowledg ask server,ask server command,"['command', 'onc', 'acknowledg', 'ask', 'server']","['ask', 'server', 'command']"
