,Unnamed: 0,label,text-neigh,label_num,text-rel,text-neigh-processed,text-rel-processed,text-neigh-tokens,text-rel-tokens
0,0,command_and_control,also been observed as being a command and control,1,it being a command and control destination for malware,also observ command control,command control destin malwar,"['also', 'observ', 'command', 'control']","['command', 'control', 'destin', 'malwar']"
1,1,command_and_control,an HTTP-based backdoor that communicates with its C2 server.,1,an HTTP-based backdoor communicates with its C2 server,http-base backdoor commun c2 server.,http-base backdoor commun c2 server,"['http-base', 'backdoor', 'commun', 'c2', 'server.']","['http-base', 'backdoor', 'commun', 'c2', 'server']"
2,2,command_and_control,"in targeted attacks, now encodes certain HTTP communications. FireEye",1,Aumlib encodes certain HTTP communications,target attack encod certain http communications. fireey,aumlib encod certain http commun,"['target', 'attack', 'encod', 'certain', 'http', 'communications.', 'fireey']","['aumlib', 'encod', 'certain', 'http', 'commun']"
3,3,command_and_control,of this malware family generated the following POST request:,1,Older variants of this malware family generated the following POST request,thi malwar famili gener follow post request:,older variant thi malwar famili gener follow post request,"['thi', 'malwar', 'famili', 'gener', 'follow', 'post', 'request:']","['older', 'variant', 'thi', 'malwar', 'famili', 'gener', 'follow', 'post', 'request']"
4,4,command_and_control,POST /bbs/info.asp HTTP/1.1 Data sent via this POST request,1,Data sent via this POST request,post system-path  system-path  data sent via thi post request asp-file,data sent via thi post request,"['post', 'system-path', 'system-path', 'data', 'sent', 'via', 'thi', 'post', 'request', 'asp-file']","['data', 'sent', 'via', 'thi', 'post', 'request']"
5,5,command_and_control,cb3dcde34fd9ff0e19381d99b02f9692. The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,1,The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,hash-code sampl hash-code connect,sampl hash-code connect,"['hash-code', 'sampl', 'hash-code', 'connect']","['sampl', 'hash-code', 'connect']"
6,6,command_and_control,www.documents.myPicture.info and as expected generated the a POST request,1,The sample cb3dcde34fd9ff0e19381d99b02f9692 generated a POST request to /bbs/info.asp,expect gener post request,sampl hash-code gener post request system-path  asp-file,"['expect', 'gener', 'post', 'request']","['sampl', 'hash-code', 'gener', 'post', 'request', 'system-path', 'asp-file']"
7,7,command_and_control,"presence of its components, provide a communication mechanism with",1,It provide a communication mechanism with its C&C servers,presenc compon provid commun mechan,provid commun mechan c&c server,"['presenc', 'compon', 'provid', 'commun', 'mechan']","['provid', 'commun', 'mechan', 'c&c', 'server']"
8,8,command_and_control,"model, the network communications are carried out from the userland -",1,are carried out the network communications from the userland,model network commun carri userland,carri network commun userland,"['model', 'network', 'commun', 'carri', 'userland']","['carri', 'network', 'commun', 'userland']"
9,9,command_and_control,"model, the network communications are handled by a kernel mode",1,a kernel mode driver are handled the network communications,model network commun handl kernel mode,kernel mode driver handl network commun,"['model', 'network', 'commun', 'handl', 'kernel', 'mode']","['kernel', 'mode', 'driver', 'handl', 'network', 'commun']"
10,10,command_and_control,"usermode processes, and then use that module for the",1,the Snake driver use that module for the communications,usermod process use modul,snake driver use modul commun,"['usermod', 'process', 'use', 'modul']","['snake', 'driver', 'use', 'modul', 'commun']"
11,11,command_and_control,"link \DosDevices\vstor32. This device is used for userland/kernel communications. Next,",1,This device is used for userland/kernel communications,link system-path  thi devic use system-path  communications. next,thi devic use system-path  commun,"['link', 'system-path', 'thi', 'devic', 'use', 'system-path', 'communications.', 'next']","['thi', 'devic', 'use', 'system-path', 'commun']"
