,Unnamed: 0,label,text-neigh,label_num,text-rel,text-neigh-processed,text-rel-processed,text-neigh-tokens,text-rel-tokens
0,0,no-infection/propagation,also been observed as being a command and control,0,it being a command and control destination for malware,also observ command control,command control destin malwar,"['also', 'observ', 'command', 'control']","['command', 'control', 'destin', 'malwar']"
1,1,no-infection/propagation,an HTTP-based backdoor that communicates with its C2 server.,0,an HTTP-based backdoor communicates with its C2 server,http-base backdoor commun c2 server.,http-base backdoor commun c2 server,"['http-base', 'backdoor', 'commun', 'c2', 'server.']","['http-base', 'backdoor', 'commun', 'c2', 'server']"
2,2,no-infection/propagation,"in targeted attacks, now encodes certain HTTP communications. FireEye",0,Aumlib encodes certain HTTP communications,target attack encod certain http communications. fireey,aumlib encod certain http commun,"['target', 'attack', 'encod', 'certain', 'http', 'communications.', 'fireey']","['aumlib', 'encod', 'certain', 'http', 'commun']"
3,3,no-infection/propagation,of this malware family generated the following POST request:,0,Older variants of this malware family generated the following POST request,thi malwar famili gener follow post request:,older variant thi malwar famili gener follow post request,"['thi', 'malwar', 'famili', 'gener', 'follow', 'post', 'request:']","['older', 'variant', 'thi', 'malwar', 'famili', 'gener', 'follow', 'post', 'request']"
4,4,no-infection/propagation,POST /bbs/info.asp HTTP/1.1 Data sent via this POST request,0,Data sent via this POST request,post system-path  system-path  data sent via thi post request asp-file,data sent via thi post request,"['post', 'system-path', 'system-path', 'data', 'sent', 'via', 'thi', 'post', 'request', 'asp-file']","['data', 'sent', 'via', 'thi', 'post', 'request']"
5,5,no-infection/propagation,cb3dcde34fd9ff0e19381d99b02f9692. The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,0,The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,hash-code sampl hash-code connect,sampl hash-code connect,"['hash-code', 'sampl', 'hash-code', 'connect']","['sampl', 'hash-code', 'connect']"
6,6,no-infection/propagation,www.documents.myPicture.info and as expected generated the a POST request,0,The sample cb3dcde34fd9ff0e19381d99b02f9692 generated a POST request to /bbs/info.asp,expect gener post request,sampl hash-code gener post request system-path  asp-file,"['expect', 'gener', 'post', 'request']","['sampl', 'hash-code', 'gener', 'post', 'request', 'system-path', 'asp-file']"
7,7,no-infection/propagation,"presence of its components, provide a communication mechanism with",0,It provide a communication mechanism with its C&C servers,presenc compon provid commun mechan,provid commun mechan c&c server,"['presenc', 'compon', 'provid', 'commun', 'mechan']","['provid', 'commun', 'mechan', 'c&c', 'server']"
8,8,no-infection/propagation,"model, the network communications are carried out from the userland -",0,are carried out the network communications from the userland,model network commun carri userland,carri network commun userland,"['model', 'network', 'commun', 'carri', 'userland']","['carri', 'network', 'commun', 'userland']"
9,9,no-infection/propagation,"model, the network communications are handled by a kernel mode",0,a kernel mode driver are handled the network communications,model network commun handl kernel mode,kernel mode driver handl network commun,"['model', 'network', 'commun', 'handl', 'kernel', 'mode']","['kernel', 'mode', 'driver', 'handl', 'network', 'commun']"
10,10,no-infection/propagation,"usermode processes, and then use that module for the",0,the Snake driver use that module for the communications,usermod process use modul,snake driver use modul commun,"['usermod', 'process', 'use', 'modul']","['snake', 'driver', 'use', 'modul', 'commun']"
11,11,no-infection/propagation,"link \DosDevices\vstor32. This device is used for userland/kernel communications. Next,",0,This device is used for userland/kernel communications,link system-path  thi devic use system-path  communications. next,thi devic use system-path  commun,"['link', 'system-path', 'thi', 'devic', 'use', 'system-path', 'communications.', 'next']","['thi', 'devic', 'use', 'system-path', 'commun']"
12,12,no-infection/propagation,"Once injected, the module initiates polling from one of",0,the module initiates from polling one of the hard-coded C&C servers,onc inject modul initi poll one,modul initi poll one hard-cod c&c server,"['onc', 'inject', 'modul', 'initi', 'poll', 'one']","['modul', 'initi', 'poll', 'one', 'hard-cod', 'c&c', 'server']"
13,13,no-infection/propagation,the C&C servers it relies on are hard-coded in the,0,it The domain names of the C&C servers relies on,c&c server reli hard-cod,domain name c&c server reli,"['c&c', 'server', 'reli', 'hard-cod']","['domain', 'name', 'c&c', 'server', 'reli']"
14,14,no-infection/propagation,"above, the malware first resolves the domain name of",0,the malware resolves the domain name of its C&C,abov malwar first resolv domain name,malwar resolv domain name c&c,"['abov', 'malwar', 'first', 'resolv', 'domain', 'name']","['malwar', 'resolv', 'domain', 'name', 'c&c']"
15,15,no-infection/propagation,"its C&C. Next, it fetches a file /D/pub.txt, and",0,it fetches a file /D/pub.txt,c&c. next fetch file system-path  txt-file,fetch file system-path  txt-file,"['c&c.', 'next', 'fetch', 'file', 'system-path', 'txt-file']","['fetch', 'file', 'system-path', 'txt-file']"
16,16,no-infection/propagation,"a file /D/pub.txt, and expects the server to respond",0,"it expects the server to respond with a string 1, acknowledging it’s active",file system-path  expect server respond txt-file,expect server respond string acknowledg activ,"['file', 'system-path', 'expect', 'server', 'respond', 'txt-file']","['expect', 'server', 'respond', 'string', 'acknowledg', 'activ']"
17,17,no-infection/propagation,"command(s) Once acknowledged, it asks the server for a",0,it asks the server for a command,command onc acknowledg ask server,ask server command,"['command', 'onc', 'acknowledg', 'ask', 'server']","['ask', 'server', 'command']"
18,18,no-infection/propagation,"command, and the server returns a new command to",0,the server returns a new command to execute,command server return new command,server return new command execut,"['command', 'server', 'return', 'new', 'command']","['server', 'return', 'new', 'command', 'execut']"
19,19,no-infection/propagation,2014 The command it receives from C&C above (swim.onlinewebshop.net),0,it C&C The command receives from, command receiv c&c abov,c&c command receiv,"['command', 'receiv', 'c&c', 'abov']","['c&c', 'command', 'receiv']"
20,20,no-infection/propagation,"by Agent.BTZ. Next, it calculates and confirms a CRC32 checksum within",0,it calculates and confirms a CRC32 checksum within the command, btz-file next calcul confirm crc32 checksum within,calcul confirm crc32 checksum within command,"['btz-file', 'next', 'calcul', 'confirm', 'crc32', 'checksum', 'within']","['calcul', 'confirm', 'crc32', 'checksum', 'within', 'command']"
21,21,no-infection/propagation,"encrypted. In order to decrypt it, the malware first",0,the malware decrypt it,encrypted. order decrypt malwar first,malwar decrypt,"['encrypted.', 'order', 'decrypt', 'malwar', 'first']","['malwar', 'decrypt']"
22,22,no-infection/propagation,"it, the malware first applies the XOR mask to",0,the malware applies the XOR mask to the bytes that start from offset 0x40,malwar first appli xor mask,malwar appli xor mask byte start offset 0x40,"['malwar', 'first', 'appli', 'xor', 'mask']","['malwar', 'appli', 'xor', 'mask', 'byte', 'start', 'offset', '0x40']"
23,23,no-infection/propagation,"within the command, further decrypts the data by using",0,it decrypts the data by using the Number Theory Library (NTL),within command decrypt data use,decrypt data use number theori librari ntl,"['within', 'command', 'decrypt', 'data', 'use']","['decrypt', 'data', 'use', 'number', 'theori', 'librari', 'ntl']"
24,24,no-infection/propagation,"Theory Library (NTL), and makes sure the command is destined",0,it makes sure the command is destined to the current host by matching the ID field in it,theori librari ntl make sure command destin,make sure command destin current host match id field,"['theori', 'librari', 'ntl', 'make', 'sure', 'command', 'destin']","['make', 'sure', 'command', 'destin', 'current', 'host', 'match', 'id', 'field']"
25,25,no-infection/propagation,"Once decrypted, the malware interprets the received command, as",0,the malware interprets the received command,onc decrypt malwar interpret receiv command,malwar interpret receiv command,"['onc', 'decrypt', 'malwar', 'interpret', 'receiv', 'command']","['malwar', 'interpret', 'receiv', 'command']"
26,26,no-infection/propagation,"After that, the malware connects to the new C&C,",0,the malware connects to the new C&C,malwar connect new c&c,malwar connect new c&c,"['malwar', 'connect', 'new', 'c&c']","['malwar', 'connect', 'new', 'c&c']"
27,27,no-infection/propagation,"to the new C&C, asking it for another command:",0,the malware asking for another command,new c&c ask anoth command:,malwar ask anoth command,"['new', 'c&c', 'ask', 'anoth', 'command:']","['malwar', 'ask', 'anoth', 'command']"
28,28,no-infection/propagation,"2014 The command it receives is called UpLoad, so",0,it The command receives, command receiv call upload,command receiv,"['command', 'receiv', 'call', 'upload']","['command', 'receiv']"
29,29,no-infection/propagation,"called UpLoad, so it uploads all the collected logs",0,it uploads all the collected logs to the server,call upload upload collect log,upload collect log server,"['call', 'upload', 'upload', 'collect', 'log']","['upload', 'collect', 'log', 'server']"
30,30,no-infection/propagation,Status:200 The files it uploads are stored inside its,0,it The files uploads,status:200 file upload store insid,file upload,"['status:200', 'file', 'upload', 'store', 'insid']","['file', 'upload']"
31,31,no-infection/propagation,sample reveals that it supports 3 modes of fetching,0,it supports 3 modes of fetching C&C commands,sampl reveal support mode fetch,support mode fetch c&c command,"['sampl', 'reveal', 'support', 'mode', 'fetch']","['support', 'mode', 'fetch', 'c&c', 'command']"
32,32,no-infection/propagation,"the first mode, it relies on Windows Internet (WinINet) APIs,",0,"it Windows Internet (WinINet) APIs, such as HttpOpenRequest(), HttpSendRequest(), InternetReadFile(), etc relies on",first mode reli window internet wininet api,window internet wininet api httpopenrequest httpsendrequest internetreadfil etc reli,"['first', 'mode', 'reli', 'window', 'internet', 'wininet', 'api']","['window', 'internet', 'wininet', 'api', 'httpopenrequest', 'httpsendrequest', 'internetreadfil', 'etc', 'reli']"
33,33,no-infection/propagation,"the second mode, it uses Windows Sockets 2 (Winsock)",0,"it Windows Sockets 2 (Winsock) APIs, such as WSAStartup(), socket(), connect(), send(), etc uses",second mode use window socket winsock,window socket winsock api wsastartup socket connect send etc use,"['second', 'mode', 'use', 'window', 'socket', 'winsock']","['window', 'socket', 'winsock', 'api', 'wsastartup', 'socket', 'connect', 'send', 'etc', 'use']"
34,34,no-infection/propagation,"the third mode, it works in the ‘pipe server’",0,it works in the ‘pipe server’ mode,third mode work ‘pipe server,work ‘pipe server mode,"['third', 'mode', 'work', '‘pipe', 'server']","['work', '‘pipe', 'server', 'mode']"
35,35,no-infection/propagation,"server’ mode, when it passes the web requests it",0,it passes the web requests it is interested in (as a client) to the pipe server that runs within Windows Explorer (explorer.exe) and/or Internet Explorer (iexplore.exe) processes,server mode pass web request,pass web request interest client pipe server run within window explor explorer.ex system-path  internet explor iexplore.ex process,"['server', 'mode', 'pass', 'web', 'request']","['pass', 'web', 'request', 'interest', 'client', 'pipe', 'server', 'run', 'within', 'window', 'explor', 'explorer.ex', 'system-path', 'internet', 'explor', 'iexplore.ex', 'process']"
36,36,no-infection/propagation,"mode, the DLL may start communicating with C&C directly.",0,the DLL start communicating with C&C directly,mode dll may start commun c&c directly.,dll start commun c&c directli,"['mode', 'dll', 'may', 'start', 'commun', 'c&c', 'directly.']","['dll', 'start', 'commun', 'c&c', 'directli']"
37,37,no-infection/propagation,the injected DLL will start communicating with the pipe,0,the injected DLL start communicating with the pipe server,inject dll start commun pipe,inject dll start commun pipe server,"['inject', 'dll', 'start', 'commun', 'pipe']","['inject', 'dll', 'start', 'commun', 'pipe', 'server']"
38,38,no-infection/propagation,the pipe server by sending messages into the established,0,the injected DLL sending messages into the established inter-process communication pipes,pipe server send messag establish,inject dll send messag establish inter-process commun pipe,"['pipe', 'server', 'send', 'messag', 'establish']","['inject', 'dll', 'send', 'messag', 'establish', 'inter-process', 'commun', 'pipe']"
39,39,no-infection/propagation,"of communication with C&C is delegated to the pipe server,",0,is delegated the task of communication with C&C to the pipe server,commun c&c deleg pipe server,deleg task commun c&c pipe server,"['commun', 'c&c', 'deleg', 'pipe', 'server']","['deleg', 'task', 'commun', 'c&c', 'pipe', 'server']"
40,40,no-infection/propagation,"pipe server, it will start communicating with the C&C,",0,it start communicating with the C&C,pipe server start commun c&c,start commun c&c,"['pipe', 'server', 'start', 'commun', 'c&c']","['start', 'commun', 'c&c']"
41,41,no-infection/propagation,the pipe server to perform other operations on their,0,the pipe server GET perform,pipe server perform oper,pipe server get perform,"['pipe', 'server', 'perform', 'oper']","['pipe', 'server', 'get', 'perform']"
42,42,no-infection/propagation,the pipe server to perform other operations on their,0,the pipe server POST requests perform,pipe server perform oper,pipe server post request perform,"['pipe', 'server', 'perform', 'oper']","['pipe', 'server', 'post', 'request', 'perform']"
43,43,no-infection/propagation,"of tasks, the clients send messages to the pipe",0,the clients send messages to using the pipe server the following task identification headers,task client send messag pipe,client send messag use pipe server follow task identif header,"['task', 'client', 'send', 'messag', 'pipe']","['client', 'send', 'messag', 'use', 'pipe', 'server', 'follow', 'task', 'identif', 'header']"
44,44,no-infection/propagation,set of domain names are hard-coded within the body of,0,are hard-coded the initial set of domain names within the body of the DLL,set domain name hard-cod within bodi,hard-cod initi set domain name within bodi dll,"['set', 'domain', 'name', 'hard-cod', 'within', 'bodi']","['hard-cod', 'initi', 'set', 'domain', 'name', 'within', 'bodi', 'dll']"
45,45,no-infection/propagation,system. The ability to update the driver and then,0,update the driver,system. abil updat driver,updat driver,"['system.', 'abil', 'updat', 'driver']","['updat', 'driver']"
46,46,no-infection/propagation,the driver and then rely on its communication capabilities means,0,rely on its communication capabilities,driver reli commun capabl mean,reli commun capabl,"['driver', 'reli', 'commun', 'capabl', 'mean']","['reli', 'commun', 'capabl']"
47,47,no-infection/propagation,where the kernel-mode driver is responsible for the communications.,0,the kernel-mode driver is responsible for the communications,kernel-mod driver respons communications.,kernel-mod driver respons commun,"['kernel-mod', 'driver', 'respons', 'communications.']","['kernel-mod', 'driver', 'respons', 'commun']"
48,48,no-infection/propagation,a kernel-mode driver to carry out the network communications. The,0,a kernel-mode driver carry out the network communications,kernel-mod driver carri network communications.,kernel-mod driver carri network commun,"['kernel-mod', 'driver', 'carri', 'network', 'communications.']","['kernel-mod', 'driver', 'carri', 'network', 'commun']"
49,49,no-infection/propagation,"FwpsCopyStreamDataToBuffer0() API, and then scanned for the presence of",0,scanned for it the presence of the hidden commands from C&C,api scan presenc,scan presenc hidden command c&c,"['api', 'scan', 'presenc']","['scan', 'presenc', 'hidden', 'command', 'c&c']"
50,50,no-infection/propagation,allowing Snake to covertly insert traffic destined to its,0,Snake insert traffic destined to its C&C servers,allow snake covertli insert traffic destin,snake insert traffic destin c&c server,"['allow', 'snake', 'covertli', 'insert', 'traffic', 'destin']","['snake', 'insert', 'traffic', 'destin', 'c&c', 'server']"
51,51,no-infection/propagation,"now inspect the traffic, looking for and then parsing GET/POST HTTP requests and",0,it GET/POST HTTP requests and also SMTP communications looking for and then parsing,inspect traffic look pars system-path  http request,system-path  http request also smtp commun look pars,"['inspect', 'traffic', 'look', 'pars', 'system-path', 'http', 'request']","['system-path', 'http', 'request', 'also', 'smtp', 'commun', 'look', 'pars']"
52,52,no-infection/propagation,"communications, in order to distinguish commands addressed to itself.",0,it distinguish commands addressed to itself,commun order distinguish command address itself.,distinguish command address,"['commun', 'order', 'distinguish', 'command', 'address', 'itself.']","['distinguish', 'command', 'address']"
53,53,no-infection/propagation,API in order to generate outbound requests. Whenever the,0,it generate outbound requests,api order gener outbound requests. whenev,gener outbound request,"['api', 'order', 'gener', 'outbound', 'requests.', 'whenev']","['gener', 'outbound', 'request']"
54,54,no-infection/propagation,module is expected to execute them and report results,0,the DLL module If execute them the data contains commands from C&C,modul expect execut report result,dll modul execut data contain command c&c,"['modul', 'expect', 'execut', 'report', 'result']","['dll', 'modul', 'execut', 'data', 'contain', 'command', 'c&c']"
55,55,no-infection/propagation,to the driver to be delivered back to C&C. NDIS,0,the driver C&C be delivered back to,driver deliv back c&c. ndi,driver c&c deliv back,"['driver', 'deliv', 'back', 'c&c.', 'ndi']","['driver', 'c&c', 'deliv', 'back']"
56,56,no-infection/propagation,"handler functions, it can send receive data by using",0,it send data by using a private TCP/IP stack,handler function send receiv data use,send data use privat system-path  stack,"['handler', 'function', 'send', 'receiv', 'data', 'use']","['send', 'data', 'use', 'privat', 'system-path', 'stack']"
57,57,no-infection/propagation,"functions, it can send/ receive data by using a",0,it receive data by using a private TCP/IP stack,function system-path  receiv data use,receiv data use privat system-path  stack,"['function', 'system-path', 'receiv', 'data', 'use']","['receiv', 'data', 'use', 'privat', 'system-path', 'stack']"
58,58,no-infection/propagation,"the underlying miniport driver receives data from the network,",0,the underlying miniport driver receives data from the network,underli miniport driver receiv data network,underli miniport driver receiv data network,"['underli', 'miniport', 'driver', 'receiv', 'data', 'network']","['underli', 'miniport', 'driver', 'receiv', 'data', 'network']"
59,59,no-infection/propagation,"into existing communications to reach out to external components, and",0,Snake reach out to external components,exist commun reach extern compon,snake reach extern compon,"['exist', 'commun', 'reach', 'extern', 'compon']","['snake', 'reach', 'extern', 'compon']"
60,60,no-infection/propagation,see if it can be authenticated as Snake traffic. The,0,Snake traffic be authenticated it as,see authent snake traffic.,snake traffic authent,"['see', 'authent', 'snake', 'traffic.']","['snake', 'traffic', 'authent']"
61,61,no-infection/propagation,Snake traffic. The authentication is implemented by decrypting the data,0,The authentication is implemented,snake traffic. authent implement decrypt data,authent implement,"['snake', 'traffic.', 'authent', 'implement', 'decrypt', 'data']","['authent', 'implement']"
62,62,no-infection/propagation,authentication is implemented by decrypting the data and making,0,decrypting the data,authent implement decrypt data make,decrypt data,"['authent', 'implement', 'decrypt', 'data', 'make']","['decrypt', 'data']"
