,Unnamed: 0,label,text-neigh,label_num,text-rel,text-neigh-processed,text-rel-processed,text-neigh-tokens,text-rel-tokens
0,0,no-other,also been observed as being a command and control,0,it being a command and control destination for malware,also observ command control,command control destin malwar,"['also', 'observ', 'command', 'control']","['command', 'control', 'destin', 'malwar']"
1,1,no-other,an HTTP-based backdoor that communicates with its C2 server.,0,an HTTP-based backdoor communicates with its C2 server,http-base backdoor commun c2 server.,http-base backdoor commun c2 server,"['http-base', 'backdoor', 'commun', 'c2', 'server.']","['http-base', 'backdoor', 'commun', 'c2', 'server']"
2,2,no-other,"in targeted attacks, now encodes certain HTTP communications. FireEye",0,Aumlib encodes certain HTTP communications,target attack encod certain http communications. fireey,aumlib encod certain http commun,"['target', 'attack', 'encod', 'certain', 'http', 'communications.', 'fireey']","['aumlib', 'encod', 'certain', 'http', 'commun']"
3,3,no-other,of this malware family generated the following POST request:,0,Older variants of this malware family generated the following POST request,thi malwar famili gener follow post request:,older variant thi malwar famili gener follow post request,"['thi', 'malwar', 'famili', 'gener', 'follow', 'post', 'request:']","['older', 'variant', 'thi', 'malwar', 'famili', 'gener', 'follow', 'post', 'request']"
4,4,no-other,POST /bbs/info.asp HTTP/1.1 Data sent via this POST request,0,Data sent via this POST request,post system-path  system-path  data sent via thi post request asp-file,data sent via thi post request,"['post', 'system-path', 'system-path', 'data', 'sent', 'via', 'thi', 'post', 'request', 'asp-file']","['data', 'sent', 'via', 'thi', 'post', 'request']"
5,5,no-other,cb3dcde34fd9ff0e19381d99b02f9692. The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,0,The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,hash-code sampl hash-code connect,sampl hash-code connect,"['hash-code', 'sampl', 'hash-code', 'connect']","['sampl', 'hash-code', 'connect']"
6,6,no-other,www.documents.myPicture.info and as expected generated the a POST request,0,The sample cb3dcde34fd9ff0e19381d99b02f9692 generated a POST request to /bbs/info.asp,expect gener post request,sampl hash-code gener post request system-path  asp-file,"['expect', 'gener', 'post', 'request']","['sampl', 'hash-code', 'gener', 'post', 'request', 'system-path', 'asp-file']"
7,7,no-other,"presence of its components, provide a communication mechanism with",0,It provide a communication mechanism with its C&C servers,presenc compon provid commun mechan,provid commun mechan c&c server,"['presenc', 'compon', 'provid', 'commun', 'mechan']","['provid', 'commun', 'mechan', 'c&c', 'server']"
8,8,no-other,"model, the network communications are carried out from the userland -",0,are carried out the network communications from the userland,model network commun carri userland,carri network commun userland,"['model', 'network', 'commun', 'carri', 'userland']","['carri', 'network', 'commun', 'userland']"
9,9,no-other,"model, the network communications are handled by a kernel mode",0,a kernel mode driver are handled the network communications,model network commun handl kernel mode,kernel mode driver handl network commun,"['model', 'network', 'commun', 'handl', 'kernel', 'mode']","['kernel', 'mode', 'driver', 'handl', 'network', 'commun']"
10,10,no-other,"usermode processes, and then use that module for the",0,the Snake driver use that module for the communications,usermod process use modul,snake driver use modul commun,"['usermod', 'process', 'use', 'modul']","['snake', 'driver', 'use', 'modul', 'commun']"
11,11,no-other,"link \DosDevices\vstor32. This device is used for userland/kernel communications. Next,",0,This device is used for userland/kernel communications,link system-path  thi devic use system-path  communications. next,thi devic use system-path  commun,"['link', 'system-path', 'thi', 'devic', 'use', 'system-path', 'communications.', 'next']","['thi', 'devic', 'use', 'system-path', 'commun']"
12,12,no-other,"Once injected, the module initiates polling from one of",0,the module initiates from polling one of the hard-coded C&C servers,onc inject modul initi poll one,modul initi poll one hard-cod c&c server,"['onc', 'inject', 'modul', 'initi', 'poll', 'one']","['modul', 'initi', 'poll', 'one', 'hard-cod', 'c&c', 'server']"
13,13,no-other,the C&C servers it relies on are hard-coded in the,0,it The domain names of the C&C servers relies on,c&c server reli hard-cod,domain name c&c server reli,"['c&c', 'server', 'reli', 'hard-cod']","['domain', 'name', 'c&c', 'server', 'reli']"
14,14,no-other,"above, the malware first resolves the domain name of",0,the malware resolves the domain name of its C&C,abov malwar first resolv domain name,malwar resolv domain name c&c,"['abov', 'malwar', 'first', 'resolv', 'domain', 'name']","['malwar', 'resolv', 'domain', 'name', 'c&c']"
15,15,no-other,"its C&C. Next, it fetches a file /D/pub.txt, and",0,it fetches a file /D/pub.txt,c&c. next fetch file system-path  txt-file,fetch file system-path  txt-file,"['c&c.', 'next', 'fetch', 'file', 'system-path', 'txt-file']","['fetch', 'file', 'system-path', 'txt-file']"
16,16,no-other,"a file /D/pub.txt, and expects the server to respond",0,"it expects the server to respond with a string 1, acknowledging it’s active",file system-path  expect server respond txt-file,expect server respond string acknowledg activ,"['file', 'system-path', 'expect', 'server', 'respond', 'txt-file']","['expect', 'server', 'respond', 'string', 'acknowledg', 'activ']"
17,17,no-other,"command(s) Once acknowledged, it asks the server for a",0,it asks the server for a command,command onc acknowledg ask server,ask server command,"['command', 'onc', 'acknowledg', 'ask', 'server']","['ask', 'server', 'command']"
18,18,no-other,"command, and the server returns a new command to",0,the server returns a new command to execute,command server return new command,server return new command execut,"['command', 'server', 'return', 'new', 'command']","['server', 'return', 'new', 'command', 'execut']"
19,19,no-other,2014 The command it receives from C&C above (swim.onlinewebshop.net),0,it C&C The command receives from, command receiv c&c abov,c&c command receiv,"['command', 'receiv', 'c&c', 'abov']","['c&c', 'command', 'receiv']"
20,20,no-other,"by Agent.BTZ. Next, it calculates and confirms a CRC32 checksum within",0,it calculates and confirms a CRC32 checksum within the command, btz-file next calcul confirm crc32 checksum within,calcul confirm crc32 checksum within command,"['btz-file', 'next', 'calcul', 'confirm', 'crc32', 'checksum', 'within']","['calcul', 'confirm', 'crc32', 'checksum', 'within', 'command']"
21,21,no-other,"encrypted. In order to decrypt it, the malware first",0,the malware decrypt it,encrypted. order decrypt malwar first,malwar decrypt,"['encrypted.', 'order', 'decrypt', 'malwar', 'first']","['malwar', 'decrypt']"
22,22,no-other,"it, the malware first applies the XOR mask to",0,the malware applies the XOR mask to the bytes that start from offset 0x40,malwar first appli xor mask,malwar appli xor mask byte start offset 0x40,"['malwar', 'first', 'appli', 'xor', 'mask']","['malwar', 'appli', 'xor', 'mask', 'byte', 'start', 'offset', '0x40']"
23,23,no-other,"within the command, further decrypts the data by using",0,it decrypts the data by using the Number Theory Library (NTL),within command decrypt data use,decrypt data use number theori librari ntl,"['within', 'command', 'decrypt', 'data', 'use']","['decrypt', 'data', 'use', 'number', 'theori', 'librari', 'ntl']"
24,24,no-other,"Theory Library (NTL), and makes sure the command is destined",0,it makes sure the command is destined to the current host by matching the ID field in it,theori librari ntl make sure command destin,make sure command destin current host match id field,"['theori', 'librari', 'ntl', 'make', 'sure', 'command', 'destin']","['make', 'sure', 'command', 'destin', 'current', 'host', 'match', 'id', 'field']"
25,25,no-other,"Once decrypted, the malware interprets the received command, as",0,the malware interprets the received command,onc decrypt malwar interpret receiv command,malwar interpret receiv command,"['onc', 'decrypt', 'malwar', 'interpret', 'receiv', 'command']","['malwar', 'interpret', 'receiv', 'command']"
26,26,no-other,"After that, the malware connects to the new C&C,",0,the malware connects to the new C&C,malwar connect new c&c,malwar connect new c&c,"['malwar', 'connect', 'new', 'c&c']","['malwar', 'connect', 'new', 'c&c']"
27,27,no-other,"to the new C&C, asking it for another command:",0,the malware asking for another command,new c&c ask anoth command:,malwar ask anoth command,"['new', 'c&c', 'ask', 'anoth', 'command:']","['malwar', 'ask', 'anoth', 'command']"
28,28,no-other,"2014 The command it receives is called UpLoad, so",0,it The command receives, command receiv call upload,command receiv,"['command', 'receiv', 'call', 'upload']","['command', 'receiv']"
29,29,no-other,"called UpLoad, so it uploads all the collected logs",0,it uploads all the collected logs to the server,call upload upload collect log,upload collect log server,"['call', 'upload', 'upload', 'collect', 'log']","['upload', 'collect', 'log', 'server']"
