,label,text-neigh,label_num,text-rel
0,command_and_control,also been observed as being a command and control,1,it being a command and control destination for malware
1,command_and_control,an HTTP-based backdoor that communicates with its C2 server.,1,an HTTP-based backdoor communicates with its C2 server
2,command_and_control,"in targeted attacks, now encodes certain HTTP communications. FireEye",1,Aumlib encodes certain HTTP communications
3,command_and_control,of this malware family generated the following POST request:,1,Older variants of this malware family generated the following POST request
4,command_and_control,POST /bbs/info.asp HTTP/1.1 Data sent via this POST request,1,Data sent via this POST request
5,command_and_control,cb3dcde34fd9ff0e19381d99b02f9692. The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,1,The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info
6,command_and_control,www.documents.myPicture.info and as expected generated the a POST request,1,The sample cb3dcde34fd9ff0e19381d99b02f9692 generated a POST request to /bbs/info.asp
7,command_and_control,"presence of its components, provide a communication mechanism with",1,It provide a communication mechanism with its C&C servers
8,command_and_control,"model, the network communications are carried out from the userland -",1,are carried out the network communications from the userland
9,command_and_control,"model, the network communications are handled by a kernel mode",1,a kernel mode driver are handled the network communications
10,command_and_control,"usermode processes, and then use that module for the",1,the Snake driver use that module for the communications
11,command_and_control,"link \DosDevices\vstor32. This device is used for userland/kernel communications. Next,",1,This device is used for userland/kernel communications
12,command_and_control,"Once injected, the module initiates polling from one of",1,the module initiates from polling one of the hard-coded C&C servers
13,command_and_control,the C&C servers it relies on are hard-coded in the,1,it The domain names of the C&C servers relies on
14,command_and_control,"above, the malware first resolves the domain name of",1,the malware resolves the domain name of its C&C
15,command_and_control,"its C&C. Next, it fetches a file /D/pub.txt, and",1,it fetches a file /D/pub.txt
16,command_and_control,"a file /D/pub.txt, and expects the server to respond",1,"it expects the server to respond with a string 1, acknowledging it’s active"
17,command_and_control,"command(s) Once acknowledged, it asks the server for a",1,it asks the server for a command
18,command_and_control,"command, and the server returns a new command to",1,the server returns a new command to execute
19,command_and_control,2014 The command it receives from C&C above (swim.onlinewebshop.net),1,it C&C The command receives from
20,command_and_control,"by Agent.BTZ. Next, it calculates and confirms a CRC32 checksum within",1,it calculates and confirms a CRC32 checksum within the command
21,command_and_control,"encrypted. In order to decrypt it, the malware first",1,the malware decrypt it
22,command_and_control,"it, the malware first applies the XOR mask to",1,the malware applies the XOR mask to the bytes that start from offset 0x40
23,command_and_control,"within the command, further decrypts the data by using",1,it decrypts the data by using the Number Theory Library (NTL)
24,command_and_control,"Theory Library (NTL), and makes sure the command is destined",1,it makes sure the command is destined to the current host by matching the ID field in it
25,command_and_control,"Once decrypted, the malware interprets the received command, as",1,the malware interprets the received command
26,command_and_control,"After that, the malware connects to the new C&C,",1,the malware connects to the new C&C
27,command_and_control,"to the new C&C, asking it for another command:",1,the malware asking for another command
28,command_and_control,"2014 The command it receives is called UpLoad, so",1,it The command receives
29,command_and_control,"called UpLoad, so it uploads all the collected logs",1,it uploads all the collected logs to the server
30,command_and_control,Status:200 The files it uploads are stored inside its,1,it The files uploads
31,command_and_control,sample reveals that it supports 3 modes of fetching,1,it supports 3 modes of fetching C&C commands
32,command_and_control,"the first mode, it relies on Windows Internet (WinINet) APIs,",1,"it Windows Internet (WinINet) APIs, such as HttpOpenRequest(), HttpSendRequest(), InternetReadFile(), etc relies on"
33,command_and_control,"the second mode, it uses Windows Sockets 2 (Winsock)",1,"it Windows Sockets 2 (Winsock) APIs, such as WSAStartup(), socket(), connect(), send(), etc uses"
34,command_and_control,"the third mode, it works in the ‘pipe server’",1,it works in the ‘pipe server’ mode
35,command_and_control,"server’ mode, when it passes the web requests it",1,it passes the web requests it is interested in (as a client) to the pipe server that runs within Windows Explorer (explorer.exe) and/or Internet Explorer (iexplore.exe) processes
36,command_and_control,"mode, the DLL may start communicating with C&C directly.",1,the DLL start communicating with C&C directly
37,command_and_control,the injected DLL will start communicating with the pipe,1,the injected DLL start communicating with the pipe server
38,command_and_control,the pipe server by sending messages into the established,1,the injected DLL sending messages into the established inter-process communication pipes
