,label,text-neigh,label_num,text-rel
0,no-other,also been observed as being a command and control,0,it being a command and control destination for malware
1,no-other,an HTTP-based backdoor that communicates with its C2 server.,0,an HTTP-based backdoor communicates with its C2 server
2,no-other,"in targeted attacks, now encodes certain HTTP communications. FireEye",0,Aumlib encodes certain HTTP communications
3,no-other,of this malware family generated the following POST request:,0,Older variants of this malware family generated the following POST request
4,no-other,POST /bbs/info.asp HTTP/1.1 Data sent via this POST request,0,Data sent via this POST request
5,no-other,cb3dcde34fd9ff0e19381d99b02f9692. The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info,0,The sample cb3dcde34fd9ff0e19381d99b02f9692 connected to documents.myPicture.info and www.documents.myPicture.info
6,no-other,www.documents.myPicture.info and as expected generated the a POST request,0,The sample cb3dcde34fd9ff0e19381d99b02f9692 generated a POST request to /bbs/info.asp
7,no-other,"presence of its components, provide a communication mechanism with",0,It provide a communication mechanism with its C&C servers
8,no-other,"model, the network communications are carried out from the userland -",0,are carried out the network communications from the userland
9,no-other,"model, the network communications are handled by a kernel mode",0,a kernel mode driver are handled the network communications
10,no-other,"usermode processes, and then use that module for the",0,the Snake driver use that module for the communications
11,no-other,"link \DosDevices\vstor32. This device is used for userland/kernel communications. Next,",0,This device is used for userland/kernel communications
12,no-other,"Once injected, the module initiates polling from one of",0,the module initiates from polling one of the hard-coded C&C servers
13,no-other,the C&C servers it relies on are hard-coded in the,0,it The domain names of the C&C servers relies on
14,no-other,"above, the malware first resolves the domain name of",0,the malware resolves the domain name of its C&C
15,no-other,"its C&C. Next, it fetches a file /D/pub.txt, and",0,it fetches a file /D/pub.txt
16,no-other,"a file /D/pub.txt, and expects the server to respond",0,"it expects the server to respond with a string 1, acknowledging it’s active"
17,no-other,"command(s) Once acknowledged, it asks the server for a",0,it asks the server for a command
18,no-other,"command, and the server returns a new command to",0,the server returns a new command to execute
19,no-other,2014 The command it receives from C&C above (swim.onlinewebshop.net),0,it C&C The command receives from
20,no-other,"by Agent.BTZ. Next, it calculates and confirms a CRC32 checksum within",0,it calculates and confirms a CRC32 checksum within the command
21,no-other,"encrypted. In order to decrypt it, the malware first",0,the malware decrypt it
22,no-other,"it, the malware first applies the XOR mask to",0,the malware applies the XOR mask to the bytes that start from offset 0x40
23,no-other,"within the command, further decrypts the data by using",0,it decrypts the data by using the Number Theory Library (NTL)
